55Mn,47Ti,240.380,0.030
55Mn,48Ti,240.202,0.034
56Fe,39K,543.924,0.041
56Fe,41K,544.273,0.038
56Fe,40Ca,472.862,0.035
56Fe,42Ca,473.673,0.038
56Fe,43Ca,473.231,0.037
56Fe,44Ca,473.886,0.036
56Fe,46Ca,473.225,0.110
56Fe,48Ca,472.555,0.036
56Fe,45Sc,400.047,0.036
56Fe,46Ti,325.048,0.036
56Fe,47Ti,324.568,0.035
56Fe,48Ti,324.390,0.036
56Fe,55Mn,84.188,0.029
56Fe,54Cr,167.154,0.029
56Fe,53Cr,165.661,0.033
56Fe,52Cr,164.756,0.030
56Fe,50Cr,165.864,0.032
56Fe,51V,244.841,0.035
56Fe,50Ti,323.454,0.035
56Fe,49Ti,323.616,0.038
55Mn,54Cr,82.966,0.028
55Mn,53Cr,81.473,0.032
55Mn,52Cr,80.568,0.029
55Mn,50Cr,81.676,0.033
55Mn,51V,160.653,0.034
55Mn,50Ti,239.266,0.032
55Mn,49Ti,239.428,0.035
54Cr,53Cr,-1.493,0.022
54Cr,52Cr,-2.398,0.020
54Cr,50Cr,-1.290,0.027
54Cr,51V,77.687,0.030
54Cr,50Ti,156.300,0.031
54Cr,49Ti,156.462,0.035
53Cr,52Cr,-0.905,0.019
53Cr,50Cr,0.203,0.028
53Cr,51V,79.180,0.026
53Cr,50Ti,157.793,0.030
53Cr,49Ti,157.955,0.034
52Cr,50Cr,1.108,0.022
52Cr,51V,80.085,0.024
52Cr,50Ti,158.698,0.027
52Cr,49Ti,158.860,0.030
50Cr,51V,78.977,0.031
50Cr,50Ti,157.590,0.034
50Cr,49Ti,157.752,0.036
51V,50Ti,78.613,0.031
51V,49Ti,78.775,0.034
50Ti,49Ti,0.162,0.027
