abs_idxs,rel_idxs,iso_idxs,dof,redchisq,lim
305,,393,0,0.0,100
306,,394,0,0.0,100
421,,791,0,0.0,100
422,,792,0,0.0,100
423,,793,0,0.0,100
424,,794,0,0.0,100
354,,566,0,0.0,100
426,,796,0,0.0,100
428,,798,0,0.0,100
431,,800,0,0.0,100
309,,448,0,0.0,100
310,,449,0,0.0,100
311,,450,0,0.0,100
"320,321,312,314,315,335","73,74,75,76,77","481,451,494,463,466,471",5,0.04232947433615719,2.264911064067352
432,,801,0,0.0,100
318,,467,0,0.0,100
322,,482,0,0.0,100
323,,483,0,0.0,100
325,,484,0,0.0,100
326,,485,0,0.0,100
329,,486,0,0.0,100
331,,487,0,0.0,100
336,,497,0,0.0,100
337,,498,0,0.0,100
338,,499,0,0.0,100
339,,500,0,0.0,100
341,,504,0,0.0,100
