Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
50,122,52,124,0.05209318796997309,0.0016895982111926084,,R372-R354,noniso,"281,290,282,287","67,68"
51,123,52,124,0.02955307278720376,0.0015692560880620654,,R372-R366,noniso,"281,290,282,287","67,68"
52,126,53,127,0.021795137575489676,0.0014088702776599426,,R380-R374,noniso,"296,297,300,293,292","70,69"
52,126,54,128,0.04775474692957182,0.0015617470585374195,,R387-R374,noniso,"296,297,300,293,292","70,69"
54,132,55,133,0.017183592728471808,0.0014233351656280518,,R419-R391,noniso,"307,304,308","72,71"
54,132,56,134,0.0420513204728481,0.001426629202443355,,R447-R391,noniso,"307,304,308","72,71"
56,138,57,139,0.015379541283066622,0.0014169818046911834,,R463-R451,noniso,"315,316,314,313,321,335,320,312,317","77,73,74,75,76"
56,138,58,140,0.037536675074715475,0.0013781927946077532,,R466-R451,noniso,"315,316,314,313,321,335,320,312,317","77,73,74,75,76"
58,140,59,141,0.014619487511246199,0.0014165039397236465,,R471-R466,noniso,"315,316,314,313,321,335,320,312,317","77,73,74,75,76"
58,140,60,142,0.035915894319865416,0.001392487897229456,,R481-R466,noniso,"315,316,314,313,321,335,320,312,317","77,73,74,75,76"
60,142,62,144,0.0340255897875128,0.002504390023060671,,R494-R481,noniso,"315,316,314,313,321,335,320,312,317","77,73,74,75,76"
62,152,63,153,0.028449781395050167,0.0028931193899803514,,R521-R502,noniso,"340,344,343","79,78"
62,152,64,154,0.03329299561913501,0.002923791143342295,,R533-R502,noniso,"340,344,343","79,78"
64,160,66,162,0.029004864134065222,0.0027703930060646986,,R565-R538,noniso,"349,353,352",80
66,164,68,166,0.026673035009361357,0.003375731737190796,,R590-R567,noniso,"356,359,355",81
70,174,72,176,0.01992651008923474,0.0032141909407086434,,R661-R634,noniso,"373,372,374,378",82
72,180,73,181,0.010186430080618258,0.0028427298798367733,,R667-R665,noniso,"385,384,382,383","83,84"
72,180,74,182,0.015527700509307074,0.0026816104748317838,,R669-R665,noniso,"385,384,382,383","83,84"
78,196,79,197,0.005536513957261846,0.0054480044038261195,,R726-R710,noniso,"403,402,406,405,401",87
81,203,82,204,0.011981560068807795,0.004374626143683537,,R795-R768,noniso,"413,412,425",90
81,205,82,206,0.016160885391570012,0.004150830772310089,,R797-R770,noniso,"416,414,415,427",92
82,208,83,209,0.018958120606313855,0.00385571275488138,,R805-R799,noniso,"439,437,436,438,430,429",93
