Energy [MeV],theta,cross_section,theta_acceptance,phi_acceptance
30,60,0.4270(28)+2,±0.0,±0.0
35,60,0.2964(20)+2,,
40,60,0.2165(20)+2,,
45,60,0.1608(13)+2,,
50,60,0.1208(10)+2,,
55,60,0.9271(70)+1,,
60,60,0.7089(50)+1,,
65,60,0.5578(42)+1,,
70,60,0.4355(33)+1,,
75,60,0.3382(25)+1,,
80,60,0.2702(23)+1,,
85,60,0.2121(17)+1,,
30,120,0.1296(09)+1,,
35,120,0.8258(70)+0,,
40,120,0.5284(42)+0,,
45,120,0.3462(29)+0,,
50,120,0.2215(16)+0,,
55,120,0.1431(14)+0,,
60,120,0.9039(81)-1,,
65,120,0.5685(48)-1,,
70,120,0.3455(30)-1,,
75,120,0.2062(19)-1,,
80,120,0.1188(10)-1,,
85,120,0.6472(54)-2,,
200,35,0.1324(24)+1,±0.3,±0.3
200,38.05,0.656(17)+0,,
200,41,0.3043(80)+0,,
200,45,0.1122(29)+0,,
200,50,0.2757(69)-1,±0.4,±1.15
200,55,0.588(17)-2,,
200,60,0.1551(43)-2,±0.4,±4.0
200,65,0.1049(30)-2,±0.9,±2.9
200,70,0.1012(33)-2,,
200,75,0.875(30)-3,,
200,80,0.587(19)-3,,
200,85.06,0.358(12)-3,,
200,90,0.1909(79)-3,,
200,95,0.871(37)-4,,
200,38,0.658(16)+0,±0.3,±0.3
401.6,35,0.419(18)-2,±0.9,±2.7
401.6,40,0.2042(89)-2,,
401.6,60,0.745(49)-5,,
401.6,62.4,0.654(29)-5,,
401.6,67.5,0.267(18)-5,,
401.6,72.5,0.808(55)-6,±1.0,±4.0
398.2,35,0.453(20)-2,±0.9,±2.7
398.2,37.5,0.322(14)-2,±1.08,±4.0
398.2,40,0.2095(92)-2,,
398.2,42.5,0.1044(45)-2,,
398.2,45,0.448(20)-3,,
398.2,47.5,0.1777(78)-3,,
398.2,52.5,0.1046(45)-4,,
398.2,55,0.487(22)-5,,
398.2,57.5,0.669(29)-5,,
398.2,60,0.830(37)-5,,
398.2,62.5,0.647(29)-5,,
398.2,65,0.540(24)-5,,
398.2,70,0.1755(78)-5,,
398.2,75,0.444(76)-6,,
398.2,80,0.67(25)-7,,
