,Cr50_dvimu,Cr50_dvimu_u,Cr50_dvie,Cr50_dvie_u,Cr52_dvimu,Cr52_dvimu_u,Cr52_dvie,Cr52_dvie_u,Cr54_dvimu,Cr54_dvimu_u,Cr54_dvie,Cr54_dvie_u,
1,0.503,(15)—5,0.41,(15)—5,-0.1176,(14)—4,-0.137,(22)—4,-0.684,(15)—5,-0.87,(15)—5
2,0.291,(39)—4,0.271,(65)—4,-0.893,(33)—4,-0.936,(60)—4,-0.632,(22)—4,-0.671,(39)—4
3,-0.33,(10)—4,-0.32,(12)—4,-0.655,(81)—4,-0.61,(96)—4,-0.948,(81)—4,-0.92,(84)-4
4,-0.114,(19)—3,-0.115,(19)—3,0.92,(15)—4,0.91,(15)-4,-0.18,(17)-4,-0.22,(17)—4
5,-0.22,(16)—4,-0.20,(16)—4,0.62,(10)-4,0.65,(11)—4,0.38,(13)—4,0.41,(13)-4
6,0.77,(11)—4,0.77,(10)—4,-0.481,(79)—4,-0.494,(80)—4,0.233,(91)—4,0.22,(91)—4
7,0.69,(14)-4,0.70,(14)—4,-0.898,(66)-4,-0.886,-(67)4,-0.24,(86)—4,-0.22,(87)—4
8,-0.30,(35)—4,-0.35,(38)—4,-0.3,(13)—4,-0.36,(15)—4,-0.4,(2.3)—5,-0.14,(24)-4
