Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
006012,2.469,0.004,"Si82 el-scatt.      Re-analysis of  Si70a, Ja72, Ca80a, Re82","['Si82', 'Si70a', 'Ja72', 'Ca80a', 'Re82']",R006012,,absl
006012,2.4757,0.009,Of88 el-scatt.      Without disp. corr!    With DC.: 2.4832 fm,"['Of88', '4832']",R006012,,absl
006012,2.4777,0.0055,Of91 el-scatt.      Without disp. corr!    F-B anal. in Fr95 T. IX.,"['Of91', 'Fr95']",R006012,,absl
006012,2.468,0.0034,"Fr95 mu-Xray      Table III.A.      Includes Sc82, Ru84","['Fr95', 'Sc82', 'Ru84']",R006012,,absl
006013,2.44,0.025,He70a el-scatt.,['He70a'],R006013,,absl
006013,2.4628,0.0039,Bo85 mu-Xray,['Bo85'],R006013,,absl
006013,2.466,0.0144,Fr95 mu-Xray      Table III.A.      Includes Sc82,"['Fr95', 'Sc82']",R006013,,absl
006014,2.59,0.05,Kl73 el-scatt.,['Kl73'],R006014,,absl
006014,2.492,0.0111,Sc82 mu-Xray,['Sc82'],R006014,,absl
007014,2.54,0.02,Sc75 el-scatt.,['Sc75'],R007014,,absl
007014,2.524,0.023,La82 el-scatt.      From  Vr87,"['La82', 'Vr87']",R007014,,absl
007014,2.56,0.0098,Sc80a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sc80a', 'Fr95']",R007014,,absl
007015,2.58,0.026,Sc75 el-scatt.,['Sc75'],R007015,,absl
007015,2.613,0.009,Vr88 el-scatt.     F-B anal. in Fr95 Table IX.,"['Vr88', 'Fr95']",R007015,,absl
008016,2.712,0.012,"Si80a el-scatt.      From  Ba80(mu-Xray): ""Priv. comm. I.Sick""","['Si80a', 'Ba80']",R008016,,absl
008016,2.728,0.008,La82 el-scatt.      Priv. comm. from  J.Friedrich,['La82'],R008016,,absl
008016,2.693,0.0035,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R008016,,absl
008017,2.662,0.026,Si70a el-scatt.,['Si70a'],R008017,,absl
008017,2.71,0.015,Ki78 el-scatt.      Measured: ratio  17O/16O = 1.0015(25),"['Ki78', '0015']",R008017,,absl
008018,2.727,0.02,Si70a el-scatt.,['Si70a'],R008018,,absl
008018,2.789,0.028,Sc75 el-scatt.,['Sc75'],R008018,,absl
008018,2.778,0.02,Ba80 mu-Xray      From Fr92.     Error: .014+model dep.,"['Ba80', 'Fr92']",R008018,,absl
009019,2.885,0.015,Ha73b el-scatt.,['Ha73b'],R009019,,absl
009019,2.898,0.011,Sc78 mu-Xray      Model+Syst+Nuclpol = .001,['Sc78'],R009019,,absl
009019,2.898,0.0029,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R009019,,absl
010020,3.004,0.025,Kn81 el-scatt.,['Kn81'],R010020,,absl
010020,2.992,0.012,Be85 el-scatt.      From Vr87.      Error: 1.5x0.008  for syst.,"['Be85', 'Vr87']",R010020,,absl
010020,3.006,0.0041,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R010020,,absl
010021,2.967,0.0036,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R010021,,absl
010022,2.969,0.021,Mo71 el-scatt.,['Mo71'],R010022,,absl
010022,2.954,0.0036,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R010022,,absl
011023,2.986,0.01,Sc78 mu-Xray      Contains  Du76.     Mod+Syst+Nuclp =.001,"['Sc78', 'Du76']",R011023,,absl
011023,2.994,0.0025,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R011023,,absl
012024,3.075,0.015,Av74 el-scatt.      From Vr87.,"['Av74', 'Vr87']",R012024,,absl
012024,3.057,0.0024,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R012024,,absl
012025,3.003,0.011,Eu77a el-scatt.,['Eu77a'],R012025,,absl
012025,3.029,0.0024,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R012025,,absl
012026,2.961,0.04,So88 el-scatt.      F-B anal. in Fr95 Table IX.,"['So88', 'Fr95']",R012026,,absl
012026,3.034,0.0025,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R012026,,absl
013027,3.035,0.004,Ro86 el-scatt.      From Vr87.      Error: 2x0.002  for syst.,"['Ro86', 'Vr87']",R013027,,absl
013027,3.058,0.006,Sc78 mu-Xray      Model+Syst+Nuclpol = .001,['Sc78'],R013027,,absl
013027,3.063,0.0022,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R013027,,absl
014028,3.085,0.017,Mi82 el-scatt.      From Vr87 Table IV.,"['Mi82', 'Vr87']",R014028,,absl
014028,3.127,0.004,Sc78 mu-Xray      Model+Syst+Nuclpol = .001,['Sc78'],R014028,,absl
014028,3.123,0.0026,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R014028,,absl
014029,3.125,0.051,Br77 el-scatt.      Two independent experiments!,['Br77'],R014029,,absl
014029,3.08,0.017,Mi82 el-scatt.      From Vr87 Table IV.,"['Mi82', 'Vr87']",R014029,,absl
014029,3.12,0.0073,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R014029,,absl
014030,3.173,0.025,Mi82 el-scatt.      From Vr87 Table IV.,"['Mi82', 'Vr87']",R014030,,absl
014030,3.1932,0.013,We93 el-scatt.      F-B anal. in Fr95 Table IX.,"['We93', 'Fr95']",R014030,,absl
014030,3.134,0.0072,Fr92 mu-Xray      Re-analysed in Fr95,"['Fr92', 'Fr95']",R014030,,absl
015031,3.187,0.01,"Mi82 el-scatt.      From Vr87.   Contains  Si72, Me73a, Me76","['Mi82', 'Vr87', 'Si72', 'Me73a', 'Me76']",R015031,,absl
015031,3.1913,0.005,We93 el-scatt.      F-B anal. in Fr95 Table IX.,"['We93', 'Fr95']",R015031,,absl
015031,3.187,0.004,Sc78 mu-Xray      See  Ka79.    Model+Syst+Nuclpol = .001,"['Sc78', 'Ka79']",R015031,,absl
015031,3.19,0.0029,Sc85 mu-Xray      From  Fr95,"['Sc85', 'Fr95']",R015031,,absl
016032,3.24,0.011,Me76 el-scatt.      From Vr87.    Contains  Li74,"['Me76', 'Vr87', 'Li74']",R016032,,absl
016032,3.248,0.011,Ry83a el-scatt.      Errors: .004 (stat.) + .007 (syst.),['Ry83a'],R016032,,absl
016032,3.2295,0.005,We93 el-scatt.      F-B anal. in Fr95 Table IX.,"['We93', 'Fr95']",R016032,,absl
016032,3.263,0.003,Sc78 mu-Xray      Contains  Du74.    Mod+Syst+Nuclp=.001,"['Sc78', 'Du74']",R016032,,absl
016032,3.263,0.0029,Sc85 mu-Xray      Re-analysed in Fr95,"['Sc85', 'Fr95']",R016032,,absl
016034,3.281,0.013,Ry83a el-scatt.      Errors: .004 (stat.) + .009 (syst.),['Ry83a'],R016034,,absl
016034,3.285,0.0031,Sc85 mu-Xray      Re-analysed in Fr95,"['Sc85', 'Fr95']",R016034,,absl
016036,3.278,0.011,Ry83a el-scatt.      Errors: .006 (stat.) + .005 (syst.),['Ry83a'],R016036,,absl
016036,3.3,0.0027,Sc85 mu-Xray      Re-analysed in Fr95,"['Sc85', 'Fr95']",R016036,,absl
017035,3.388,0.017,Br80 el-scatt.,['Br80'],R017035,,absl
017035,3.34,0.018,Ba67 mu-Xray      Model independent analysis in  En74 T. III.,"['Ba67', 'En74']",R017035,,absl
017037,3.384,0.017,Br80 el-scatt.,['Br80'],R017037,,absl
018036,3.327,0.0225,Fi76 el-scatt.      Error: 1.5x0.015  for syst/model.,['Fi76'],R018036,,absl
018036,3.402,0.006,Pf76 mu-Xray      Contains  Pf73.,"['Pf76', 'Pf73']",R018036,,absl
018036,3.39,0.0033,Fr82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr82', 'Fr95']",R018036,,absl
018038,3.415,0.009,Pf76 mu-Xray      Contains  Pf73.,"['Pf76', 'Pf73']",R018038,,absl
018038,3.402,0.0032,Fr82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr82', 'Fr95']",R018038,,absl
018040,3.423,0.014,"Ot82 el-scatt.      Contains  Gr71, Sc71, We74, Fi76","['Ot82', 'Gr71', 'Sc71', 'We74', 'Fi76']",R018040,,absl
018040,3.429,0.006,Pf76 mu-Xray      Contains  Pf73.,"['Pf76', 'Pf73']",R018040,,absl
018040,3.427,0.0034,Fr82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr82', 'Fr95']",R018040,,absl
019039,3.408,0.027,Si73a el-scatt.,['Si73a'],R019039,,absl
019039,3.438,0.01,Eh68 mu-Xray      Model independent analysis in  En74 Table III.,"['Eh68', 'En74']",R019039,,absl
019039,3.435,0.003,Sc78 mu-Xray      Model+Syst+Nuclpol = .001,['Sc78'],R019039,,absl
019039,3.435,0.0033,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R019039,,absl
019041,3.452,0.0033,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R019041,,absl
020040,3.476,0.003,Si79 el-scatt.      Data: Private communication,['Si79'],R020040,,absl
020040,3.478,0.003,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020040,,absl
020042,3.508,0.0032,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020042,,absl
020043,3.495,0.003,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020043,,absl
020044,3.518,0.0032,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020044,,absl
020046,3.498,0.0058,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020046,,absl
020048,3.481,0.009,Em83 el-scatt.      Contains  Em83a.,"['Em83', 'Em83a']",R020048,,absl
020048,3.479,0.003,Wo81 From Fr95 T.III.A. Error estimated. ,"['Wo81', 'Fr95']",R020048,,absl
021045,3.546,0.0035,Fr82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr82', 'Fr95']",R021045,,absl
022046,3.606,0.0032,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R022046,,absl
022047,3.596,0.0032,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R022047,,absl
022048,3.5773,0.02,He71 el-scatt.      From  Se88.                   Error estimated.,"['He71', 'Se88']",R022048,,absl
022048,3.592,0.0032,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R022048,,absl
022049,3.574,0.003,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R022049,,absl
022050,3.571,0.0031,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R022050,,absl
023051,3.6,0.003,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R023051,,absl
024050,3.638,0.013,La76 el-scatt.      From Vr87 ,"['La76', 'Vr87']",R024050,,absl
024050,3.661,0.0032,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R024050,,absl
024052,3.674,0.015,Li76 el-scatt.  ,['Li76'],R024052,,absl
024052,3.613,0.017,La76 el-scatt.      From Vr87 ,"['La76', 'Vr87']",R024052,,absl
024052,3.645,0.003,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R024052,,absl
024053,3.659,0.003,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R024053,,absl
024054,3.673,0.014,La76 el-scatt.      From Vr87 ,"['La76', 'Vr87']",R024054,,absl
024054,3.686,0.0032,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R024054,,absl
025055,3.706,0.0033,Wo81 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Wo81', 'Fr95']",R025055,,absl
026054,3.675,0.02,La76 el-scatt.      From Vr87 ,"['La76', 'Vr87']",R026054,,absl
026054,3.694,0.005,"Wo80 El+mu analysis  with Wo76, Sh76(mu)","['Wo80', 'Wo76', 'Sh76']",R026054,,absl
026056,3.721,0.02,La76 el-scatt.      From Vr87 ,"['La76', 'Vr87']",R026056,,absl
026056,3.738,0.0036,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R026056,,absl
026056,3.7412,0.0065,Wo81 mu-Xray      Error estimated,['Wo81'],R026056,,absl
026057,3.754,0.0037,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R026057,,absl
026058,3.752,0.025,Wo76 el-scatt.   ,['Wo76'],R026058,,absl
026058,3.774,0.0037,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R026058,,absl
027059,3.789,0.005,Sc79 el-scatt.   ,['Sc79'],R027059,,absl
027059,3.788,0.0035,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R027059,,absl
028058,3.77,0.01,Sp79 el-scatt.      Re-analysis of  Si75  ,"['Sp79', 'Si75']",R028058,,absl
028058,3.772,0.004,Ca80b el-scatt.      From Vr87.      Error: 2x0.002  for syst.,"['Ca80b', 'Vr87']",R028058,,absl
028058,3.777,0.005,Wo80 El+mu analysis  with  Sh76(mu),"['Wo80', 'Sh76']",R028058,,absl
028058,3.769,0.013,Be83 el-scatt.      From Vr87 ,"['Be83', 'Vr87']",R028058,,absl
028058,3.776,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R028058,,absl
028060,3.796,0.01,Fi74a el-scatt.      From Ja74.     Contains  Fi70 ,"['Fi74a', 'Ja74', 'Fi70']",R028060,,absl
028060,3.815,0.005,Wo80 El+mu analysis  with  Sh76(mu),"['Wo80', 'Sh76']",R028060,,absl
028060,3.797,0.013,Be83 el-scatt.      From Vr87 ,"['Be83', 'Vr87']",R028060,,absl
028060,3.813,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R028060,,absl
028061,3.806,0.01,Fi74a el-scatt.      From Ja74.     Contains  Fi70 ,"['Fi74a', 'Ja74', 'Fi70']",R028061,,absl
028061,3.823,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R028061,,absl
028062,3.822,0.01,Fi74a el-scatt.      From Ja74.     Contains  Fi70 ,"['Fi74a', 'Ja74', 'Fi70']",R028062,,absl
028062,3.827,0.013,Ke77 el-scatt.      From Ja79    (priv. comm.),"['Ke77', 'Ja79']",R028062,,absl
028062,3.842,0.0035,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R028062,,absl
028064,3.845,0.01,Fi74a el-scatt.      From Ja74.     Contains  Fi70 ,"['Fi74a', 'Ja74', 'Fi70']",R028064,,absl
028064,3.86,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R028064,,absl
029063,3.933,0.015,Ke77 el-scatt.      From Vr87,"['Ke77', 'Vr87']",R029063,,absl
029063,3.885,0.005,Sc79 el-scatt.   ,['Sc79'],R029063,,absl
029063,3.883,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R029063,,absl
029065,3.905,0.005,Sc79 el-scatt.   ,['Sc79'],R029065,,absl
029065,3.902,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R029065,,absl
030064,3.923,0.013,Ke77 el-scatt.      From Vr87,"['Ke77', 'Vr87']",R030064,,absl
030064,3.928,0.0035,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R030064,,absl
030066,3.952,0.015,Ke77 el-scatt.      From Vr87,"['Ke77', 'Vr87']",R030066,,absl
030066,3.951,0.006,Je70 mu-Xray      MIA in  En74 Table III.    Syst+Nuclp=.001  ,"['Je70', 'En74']",R030066,,absl
030066,3.948,0.0035,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R030066,,absl
030068,3.958,0.017,Ke77 el-scatt.      From Vr87,"['Ke77', 'Vr87']",R030068,,absl
030068,3.969,0.006,Je70 mu-Xray      MIA in  En74 Table III.    Syst+Nuclp=.001  ,"['Je70', 'En74']",R030068,,absl
030068,3.965,0.0034,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R030068,,absl
030070,3.993,0.02,Ke77 el-scatt.      From Vr87,"['Ke77', 'Vr87']",R030070,,absl
030070,3.983,0.0033,Sh76 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh76', 'Fr95']",R030070,,absl
031069,3.996,0.0032,Ma83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma83', 'Fr95']",R031069,,absl
031071,4.011,0.0032,Ma83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma83', 'Fr95']",R031071,,absl
032070,4.043,0.002,Ma84 El+mu analysis.      From  Vr87,"['Ma84', 'Vr87']",R032070,,absl
032070,4.039,0.0033,Si82a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82a', 'Fr95']",R032070,,absl
032072,4.06,0.002,Ma84 El+mu analysis.      From  Vr87,"['Ma84', 'Vr87']",R032072,,absl
032072,4.055,0.0033,Si82a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82a', 'Fr95']",R032072,,absl
032073,4.061,0.0033,Si82a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82a', 'Fr95']",R032073,,absl
032074,4.075,0.002,Ma84 El+mu analysis.      From  Vr87,"['Ma84', 'Vr87']",R032074,,absl
032074,4.072,0.0035,Si82a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82a', 'Fr95']",R032074,,absl
032076,4.081,0.002,Ma84 El+mu analysis.      From  Vr87,"['Ma84', 'Vr87']",R032076,,absl
032076,4.08,0.0035,Si82a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82a', 'Fr95']",R032076,,absl
033075,4.096,0.0033,Ma83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma83', 'Fr95']",R033075,,absl
034074,4.07,0.02,Kh88 el-scatt.  ,['Kh88'],R034074,,absl
034076,4.162,0.01,Kh88 el-scatt.  ,['Kh88'],R034076,,absl
034076,4.139,0.0036,Si82b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82b', 'Fr95']",R034076,,absl
034077,4.139,0.0035,Si82b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82b', 'Fr95']",R034077,,absl
034078,4.138,0.014,Kh88 el-scatt.  ,['Kh88'],R034078,,absl
034078,4.14,0.0036,Si82b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82b', 'Fr95']",R034078,,absl
034080,4.124,0.01,Kh88 el-scatt.  ,['Kh88'],R034080,,absl
034080,4.143,0.0029,Ka79 mu-Xray      Model+Syst+Nuclpol = .001  ,['Ka79'],R034080,,absl
034080,4.14,0.0035,Si82b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82b', 'Fr95']",R034080,,absl
034082,4.118,0.011,Kh88 el-scatt.  ,['Kh88'],R034082,,absl
034082,4.14,0.0035,Si82b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Si82b', 'Fr95']",R034082,,absl
035079,4.163,0.0035,Ma83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma83', 'Fr95']",R035079,,absl
035081,4.16,0.0034,Ma83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma83', 'Fr95']",R035081,,absl
036078,4.203,0.0039,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036078,,absl
036080,4.198,0.0039,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036080,,absl
036082,4.192,0.0037,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036082,,absl
036083,4.186,0.0037,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036083,,absl
036084,4.188,0.0036,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036084,,absl
036086,4.184,0.0036,Ma85 From Fr95 T.III.A. Error estimated. ,"['Ma85', 'Fr95']",R036086,,absl
037085,4.204,0.0036,He86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He86', 'Fr95']",R037085,,absl
037087,4.199,0.0036,He86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He86', 'Fr95']",R037087,,absl
038084,4.241,0.0037,He86 From Fr95 T.III.A. Error estimated. ,"['He86', 'Fr95']",R038084,,absl
038086,4.231,0.0036,He86 From Fr95 T.III.A. Error estimated. ,"['He86', 'Fr95']",R038086,,absl
038087,4.224,0.0036,He86 From Fr95 T.III.A. Error estimated. ,"['He86', 'Fr95']",R038087,,absl
038088,4.188,0.005,St76 el-scatt.      From Vr87,"['St76', 'Vr87']",R038088,,absl
038088,4.224,0.0036,He86 From Fr95 T.III.A. Error estimated. ,"['He86', 'Fr95']",R038088,,absl
039089,4.27,0.02,Fi74 el-scatt.      From  Ja74,"['Fi74', 'Ja74']",R039089,,absl
039089,4.244,0.008,Ke70 mu-Xray      MIA in  En74 T.III.    Syst+Nuclpol = .001  ,"['Ke70', 'En74']",R039089,,absl
039089,4.243,0.0036,He86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He86', 'Fr95']",R039089,,absl
040090,4.269,0.002,"Ma89 Includes Ro76, Ph85, Ma89(mu) ","['Ma89', 'Ro76', 'Ph85', 'Ma89']",R040090,,absl
040091,4.285,0.0038,He86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He86', 'Fr95']",R040091,,absl
040091,4.285,0.002,Ma89 El+mu analysis.     ,['Ma89'],R040091,,absl
040092,4.305,0.002,"Ma89 Includes Ro76, Ma89(mu) ","['Ma89', 'Ro76', 'Ma89']",R040092,,absl
040094,4.331,0.002,"Ma89 Includes Ro76, Ma89(mu) ","['Ma89', 'Ro76', 'Ma89']",R040094,,absl
040096,4.351,0.002,"Ma89 Includes Ro76, Ma89(mu) ","['Ma89', 'Ro76', 'Ma89']",R040096,,absl
041093,4.331,0.01,Ja76 el-scatt.      From  Ja74,"['Ja76', 'Ja74']",R041093,,absl
041093,4.3247,0.004,Po72 mu-Xray      MIA in  En74 T.III.    Syst+Nuclpol = .001  ,"['Po72', 'En74']",R041093,,absl
041093,4.324,0.0038,He86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He86', 'Fr95']",R041093,,absl
042092,4.315,0.002,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042092,,absl
042094,4.352,0.002,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042094,,absl
042095,4.3622,0.003,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042095,,absl
042096,4.384,0.002,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042096,,absl
042097,4.3866,0.003,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042097,,absl
042098,4.409,0.002,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042098,,absl
042100,4.447,0.002,"Ma89 Includes Dr75, Sc80, Ma89(mu) ","['Ma89', 'Dr75', 'Sc80', 'Ma89']",R042100,,absl
044096,4.393,0.0047,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044096,,absl
044098,4.423,0.0055,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044098,,absl
044099,4.435,0.0042,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044099,,absl
044100,4.453,0.0043,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044100,,absl
044101,4.461,0.0042,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044101,,absl
044102,4.481,0.0042,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044102,,absl
044104,4.509,0.0043,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R044104,,absl
045103,4.494,0.0041,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R045103,,absl
046102,4.484,0.0044,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046102,,absl
046104,4.437,0.01,La86 el-scatt.      From Vr87,"['La86', 'Vr87']",R046104,,absl
046104,4.509,0.0046,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046104,,absl
046105,4.516,0.0046,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046105,,absl
046106,4.467,0.011,La86 el-scatt.      From Vr87,"['La86', 'Vr87']",R046106,,absl
046106,4.532,0.0045,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046106,,absl
046108,4.524,0.01,La86 el-scatt.      From Vr87,"['La86', 'Vr87']",R046108,,absl
046108,4.556,0.0045,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046108,,absl
046110,4.639,0.019,Li76 el-scatt.      ,['Li76'],R046110,,absl
046110,4.541,0.01,La86 el-scatt.      From Vr87,"['La86', 'Vr87']",R046110,,absl
046110,4.577,0.0046,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R046110,,absl
047107,4.544,0.0042,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R047107,,absl
047109,4.565,0.0042,Ha89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ha89', 'Fr95']",R047109,,absl
048106,4.534,0.0045,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048106,,absl
048108,4.554,0.0045,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048108,,absl
048110,4.578,0.007,Gi75 el-scatt.      ,['Gi75'],R048110,,absl
048110,4.574,0.0045,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048110,,absl
048111,4.579,0.0044,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048111,,absl
048112,4.608,0.007,Gi75 el-scatt.      ,['Gi75'],R048112,,absl
048112,4.593,0.0043,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048112,,absl
048113,4.597,0.0043,Fr87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr87', 'Fr95']",R048113,,absl
048114,4.629,0.008,Gi75 el-scatt.      ,['Gi75'],R048114,,absl
048114,4.632,0.017,Li76 el-scatt.      ,['Li76'],R048114,,absl
048114,4.591,0.015,Ja76 el-scatt.      From  Ja79 (priv. comm.),"['Ja76', 'Ja79']",R048114,,absl
