Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
58,140,60,142,0.0357258612549933,0.001470407101714307,,R481-R466,noniso,,"77,73,74,75,76"
60,142,62,144,0.0335585166571574,0.0027838677590103405,,R494-R481,noniso,,"77,73,74,75,76"
62,152,63,153,0.028655552180248994,0.0031751941870498098,,R521-R502,noniso,,"79,78"
62,152,64,154,0.033676218272078694,0.0031758373905132068,,R533-R502,noniso,,"79,78"
64,160,66,162,0.028227006668425814,0.0029418524205744746,,R565-R538,noniso,,80
66,164,68,166,0.028024391909394975,0.002864519261094199,,R590-R567,noniso,,81
70,174,72,176,0.020010516928484757,0.003255920593848275,,R661-R634,noniso,,82
72,180,73,181,0.0097234853614439,0.00278428768411827,,R667-R665,noniso,,"83,84"
72,180,74,182,0.017639109669028877,0.002784406812132238,,R669-R665,noniso,,"83,84"
78,196,79,197,0.0044600966610104185,0.0017824857969426238,,R726-R710,noniso,,87
81,203,82,204,0.014999999776482581,0.013000000012032602,,R795-R768,noniso,,90
81,205,82,206,0.02899999956786633,0.012999999991238215,,R797-R770,noniso,,92
82,208,83,209,0.014712891926316671,0.003739141696136031,,R805-R799,noniso,,93
