iso_idx,R,DR,Ref.,Remarks,Type,Term
794,5.471,0.0055,Fr95,,,R794
795,5.479,0.002,Ma92,,,R795
796,5.482,0.0035,Fr95,,,R796
797,5.49,0.002,Ma92,,,R797
798,5.495,0.002,Ma92,,,R798
799,5.4987,0.0034,Fr77b,,,R799
799,5.502,0.002,Ma92,,,R799
800,5.511,0.0025,Fr95,,,R800
801,5.523,0.0035,Fr95,,,R801
802,5.533,0.0055,Fr95,,,R802
803,5.545,0.0075,Fr95,,,R803
804,5.565,0.0105,Fr95,,,R804
805,5.527,0.02,Si73b,,el-scatt.,R805
805,5.5186,0.0047,Eu78,,,R805
805,5.533,0.006,Ze70,MIA in  En74 T.III.      Syst+Nuclp=.001  ,mu-Xray,R805
805,5.533,0.0095,Ru84b,From Fr95 Table III.A.      Error estimated,mu-Xray,R805
869,5.7848,0.0124,Cl78,"Error est.: 2x,0062 (stat), rms from Ko07",mu-Xray,R869
870,5.8158,0.0132,Zu84,"Error est.: 2x,0066 (stat)",mu-Xray,R870
871,5.8289,0.0062,Zu84,"Error est.: 2x,0031 (stat)",mu-Xray,R871
872,5.8186,0.0174,Cl78,"Error est.: 2x,0087 (stat), rms from Ko07",mu-Xray,R872
872,5.8343,0.0056,Zu84,"Error est.: 2x,0028 (stat)",mu-Xray,R872
874,5.854,0.02,Cr77,From Vr87      Error estimated.,el-scatt.,R874
874,5.8446,0.0124,Cl78,"Error est.: 2x,0061 (stat), rms from Ko07",mu-Xray,R874
874,5.8604,0.0046,Zu84,"Error est.: 2x,0023 (stat)",mu-Xray,R874
876,5.8601,0.0378,Cl78,"Error est.: 2x,0189 (stat), rms from Ko07",mu-Xray,R876
881,5.8929,0.0035,Jo85,Model+Syst+Nuclpol = .001  ,mu-Xray,R881
882,5.9047,0.0035,Jo85,Model+Syst+Nuclpol = .001  ,mu-Xray,R882
