Type,id,Citation,Elements,Authors,Year
Muonic,Ba66,"TT.Bardin, et al.: Phys. Rev. Lett. 16 (1966) 429 ",................................... Bi,"TT.Bardin,etal.",1966
Muonic,Ba66a,TT.Bardin et al: Prog. Rep. Jan. 1 (1966) GEN-72; ONR-666(72) (From Wu69 and En74),......... Ti,TT.Bardinetal,1966
Muonic,Ba66b,"TT.Bardin, et al.: Phys. Rev. Lett. 16 (1966) 718 ","................................... Sn, Nd, W","TT.Bardin,etal.",1966
Muonic,Eh66,"RD.Ehrlich, et al.: Phys. Rev. Lett. 16 (1966) 425 ",.................................. Bi,"RD.Ehrlich,etal.",1966
Muonic,Eh66a,"RD.Ehrlich, et al.: Phys. Letters, 23 (1966) 468 ",..................................... Pb,"RD.Ehrlich,etal.",1966
Muonic,Je66,"D.A.Jenkins, et al.: Phys. Rev. Lett. 17 (1966) 1 ","..................................... Li, Be, B, C, N, 0, F, Na, Mg","D.A.Jenkins,etal.",1966
Muonic,Ba67,"C.G.Backenstoss, et al.: Phys. Letters, 25B (1967) 547 ","......................... B, C, N, 0, F, Na, Mg, Al, Si, P, S, Cl","C.G.Backenstoss,etal.",1967
Muonic,Ba67a,"T.T.Bardin, et al.: Phys. Rev. 160 (1967) 1043 ",....................................... Bi,"T.T.Bardin,etal.",1967
Muonic,Be67,"S.Bemow, et al.: Phys. Rev. Lett. 18 (1967) 787 ",..................................... Sm,"S.Bemow,etal.",1967
Muonic,Bu67,"Yu.T.Budyashov, et al.: Yad. Fiz. 5 (1967) 134 ","....................................... Ar, S, Cl, K, Ca, Cr","Yu.T.Budyashov,etal.",1967
Muonic,El67,"L.RB.Elton: Landolt-Bornstein, Gruppe I.: Kernphysik und Kerntechnik, Band 2: Kemradien; Springer, Berlin (1967) pp.1-20 ",..................... Many; compilation,L.RB.Elton,1967
Muonic,Su67,A.Suzuki: Phys. Rev. Lett. 19 (1967) 1005 ,"............................................. Mg, Si, S, Ca",A.Suzuki,1967
Muonic,We67,"R.J.Wetmore, et al.: Phys. Rev. Lett. 19 (1967) 1003 ",............................. He,"R.J.Wetmore,etal.",1967
Muonic,Wr67,"S.A.De Wit, et al.: Nucl. Phys. 87 (1967)657 ","........................................... Sm, Eu, Tb, Ho, Hf, Ta, W, Os, Ir, Th, U, Pu","S.A.DeWit,etal.",1967
