Type,id,Citation,Elements,Authors,Year
Electronic,Fe47,"E.Fermi, and L.Marshall: Phys. Rev. 72 (1947) 1139 ",.............................. neutron,"E.Fermi,L.Marshall",1947
Electronic,Ha47,"W.W.Havens Jr., I.I.Rabi, and L.J.Rainwater: Phys. Rev. 72(1947)634 ",.. neutron,"W.W.HavensJr.,I.I.Rabi,L.J.Rainwater",1947
Electronic,Ha51,"W.W.Havens Jr., L.J.Rainwater, and I.I.Rabi: Phys. Rev. 82(1951 )345 ",. neutron,"W.W.HavensJr.,L.J.Rainwater,I.I.Rabi",1951
Electronic,Ly51,"E.Lyman, A.Hanson, and M.Scott: Phys. Rev. 84 (1951) 626 ","................. Cu, Ag, Au","E.Lyman,A.Hanson,M.Scott",1951
Electronic,Ha52,"M.Hamermesh, G.R.Ringo, and A.Wattenberg: Phys. Rev. 85(1952)483L  ",neutron,"M.Hamermesh,G.R.Ringo,A.Wattenberg",1952
Electronic,Ha53,"C.L.Hammer, E.C.Raka, RW.Pidd: Phys. Rev. 90 (1953) 341 ","............... Sn, W","C.L.Hammer,E.C.Raka,RW.Pidd",1953
Electronic,Ho53,"RHofstadter, H.R.Fechter, J.A.Mclntyre: Phys. Rev. 91(1953)422 ","........ ""Program initiated ... ""","RHofstadter,H.R.Fechter,J.A.Mclntyre",1953
Electronic,Ho53a,"R.Hofstadter, H.R.Fechter, J.A.Mclntyre: Phys. Rev. 92(1953)978 ","........ H,D,Be,C,Ta,Au,Pb","R.Hofstadter,H.R.Fechter,J.A.Mclntyre",1953
Electronic,Hu53,"D.J.Hughes, J.A.Harvey, et al.: Phys. Rev. 90 (1953) 497 ",...................... neutron,"D.J.Hughes,J.A.Harvey,etal.",1953
Electronic,Pi53,"R.W.Pidd, C.L.Hammer, and E.C,Raka: Phys. Rev. 92 (1953) 436 ","......... Sn, W","R.W.Pidd,C.L.Hammer,E.C,Raka",1953
Electronic,Ml54,"J.A.Mclntyre, B.Hahn, R.Hofstadter: Phys. Rev. 94 (1954) 1084 ",............ Be,"J.A.Mclntyre,B.Hahn,R.Hofstadter",1954
Electronic,Do55,"B.W.Downs, D.G.Ravenhall, D.R.Yennie: Phys. Rev. 98(1955)277(A) ",.. Ta,"B.W.Downs,D.G.Ravenhall,D.R.Yennie",1955
Electronic,Do55a,"B.D.Downs: Ph.D. Thesis, Stanford University, Oct.(1955) ","..................... Ta, Sr",B.D.Downs,1955
Electronic,Fo55,"KW.Ford, and D.L.Hill: Ann. Rev. Nuc/. Sci. 5 (1955) ","............................. Ag, Au, Sn, W","KW.Ford,D.L.Hill",1955
Electronic,Fr55,"J.H.Fregeau, and R,Hofstadter: Phys. Rev. 99 (1955) 1503 ",................... C,"J.H.Fregeau,R,Hofstadter",1955
Electronic,Ha55,"B.Hahn, and R.Hofstadter: Phys. Rev. 98 (1955) 278(A) ",........................ Ta,"B.Hahn,R.Hofstadter",1955
Electronic,Ho55,"R.Hofstadter, and R.W.McAllister: Phys. Rev. 98 (1955) 217 ",................. H,"R.Hofstadter,R.W.McAllister",1955
Electronic,Ml55,"J.A.Mclntyre, and RHofstadter: Phys. Rev. 98 (1955) 158 ",..................... D,"J.A.Mclntyre,RHofstadter",1955
Electronic,Pi55,"RW.Pidd, and C.L.Hammer: Phys. Rev. 99 (1955) 1396 ",....................... W,"RW.Pidd,C.L.Hammer",1955
Electronic,St55,J.F.Streib: Phys. Rev. 100 (1955) 1797 ,................................................... Li,J.F.Streib,1955
Electronic,Ye55,"D.RYennie, D.G.Ravenhall, B.W.Downs: Phys. Rev. 98(1955)277(A) ",.. Sr,"D.RYennie,D.G.Ravenhall,B.W.Downs",1955
Electronic,8156,"RBlankenbecler, RHofstadter: Bull. Am. Phys. Soc. Ser.//.1(1956)10 ",.. He,"RBlankenbecler,RHofstadter",1956
Electronic,Ch56,"EE.Chambers, and RHofstadter: Phys. Rev. 103 (1956) 1454 ",............. H,"EE.Chambers,RHofstadter",1956
Electronic,Cr56,"M.F.Crouch, VE.Krohn, and G.RRingo: Phys. Rev., 102 (1956) ",........... neutron,"M.F.Crouch,VE.Krohn,G.RRingo",1956
Electronic,Fr56,J.H.Fregeau: Phys. Rev. 104 (1956) 225 ,................................................ C,J.H.Fregeau,1956
Electronic,Ha56,"B.Hahn, D.G.Ravenhall, RHofstadter: Phys. Rev. 101 (1956) 1131 ","...... Ca, V, Ni, Co, In, Sb, Au, Bi","B.Hahn,D.G.Ravenhall,RHofstadter",1956
Electronic,He56,RH.Helm: Phys. Rev. 104 (1956) 1466 ,"................................................... Mg, Si, S",RH.Helm,1956
Electronic,Ho56,RHofstadter: Rev. Mod. Phys. 28 (1956) 214 ,......................................... Many; review,RHofstadter,1956
Electronic,MA56,"RW.McAllister, and RHofstadter: Phys. Rev. 102 (1956) 851 ","............... H, He","RW.McAllister,RHofstadter",1956
Electronic,Me56,"E.Melkonian, et al.: Bull. Am. Phys. Soc. 1 (1956) 62 [UA8] ",.................. neutron,"E.Melkonian,etal.",1956
Electronic,Ml56,J.A.Mclntyre: Phys. Rev. 103 (1956) 1464 ,.............................................. D,J.A.Mclntyre,1956
Electronic,Do57,"B.Downs, D.G.Ravenhall, D.RYennie: Phys. Rev. 106(1957)1285 ","........ Hf, Ta, W, U","B.Downs,D.G.Ravenhall,D.RYennie",1957
Electronic,Ha57,"B.Hahn, R.Hofstadter, D.G.Ravenhall: Phys. Rev. 105 (1957) 1353 ",...... Ni,"B.Hahn,R.Hofstadter,D.G.Ravenhall",1957
Electronic,Ho57,RHofstadter: Ann. Rev. Nucl. Sci. 7 (1957) 231 ,..................................... Many; review,RHofstadter,1957
Electronic,Mi57,"RC.Miller, and C.S.Robinson: Ann. Phys. (N. Y.) 2 (1957) 129 ","............... Al, Pb","RC.Miller,C.S.Robinson",1957
Electronic,Ml57,"J.A.Mclntyre, and S.Dhar: Phys. Rev. 106 (1957) 1074 ",.......................... D,"J.A.Mclntyre,S.Dhar",1957
Electronic,Bu58,"G.R.Burleson, and RHofstadter: Phys. Rev. 112 (1958) 1282 ",............... Li,"G.R.Burleson,RHofstadter",1958
Electronic,Fo58,L.L.Foldy: Rev. Mod. Phys. 30 (1958)471 ,.............................................. n,L.L.Foldy,1958
Electronic,Ho58,"RHofstadter, F.Bumiller, M.RYearian: Rev. Mod. Phys. 30(1958)482 ","... n, H","RHofstadter,F.Bumiller,M.RYearian",1958
Electronic,Eh59,"H.F.Ehrenberg, et al.: Phys. Rev. 113 (1959} 66C ",".................................. C, 0","H.F.Ehrenberg,etal.",1959
Electronic,Me59,"U.Meyer-Berkhout, KW.Ford, A.ES.Green: Ann. Phys. 8(1959)119 ","..... Li, Be, 8, C, N, 0","U.Meyer-Berkhout,KW.Ford,A.ES.Green",1959
Electronic,Me59a,"E.Melkonian, B.M.Rustad, W.W.Havens Jr: Phys. Rev. 114(1959)1571 ", neutron,"E.Melkonian,B.M.Rustad,W.W.HavensJr",1959
Electronic,Be60,"J.Bellicard, and P.Barreau: Nucl. Phys. 17 (1960) 141 ","........................... Au, Bi","J.Bellicard,P.Barreau",1960
Electronic,Bu60,"G.R.Burleson, and H.W.Kendall: Nucl. Phys. 19 (1960) 68 ",..................... He,"G.R.Burleson,H.W.Kendall",1960
Electronic,Bu61,"F.Bumiller, et al.: Phys. Rev. 124 (1961) 1623 ",........................................ H,"F.Bumiller,etal.",1961
Electronic,Cr61,"H.Crannell, etal.: Phys. Rev.121 (1961) 283 ","......................................... Ca, V, Co, In, Sb, Bi","H.Crannell,etal.",1961
Electronic,La61,"F.Lacoste, and G.R.Bishop: Nucl. Phys. 26 (1961) 511 ",.......................... 0,"F.Lacoste,G.R.Bishop",1961
Electronic,Be62,"J.Bellicard, and P.Barreau: Nucl. Phys. 36 (1962) 476 ",........................... Fe,"J.Bellicard,P.Barreau",1962
Electronic,Le62,"P.Lehmann, R.Taylor, R.Wilson: Phys. Rev. 126 (1962) 1183 ",................ H,"P.Lehmann,R.Taylor,R.Wilson",1962
Electronic,Be63,"K.Berkelman, et al.: Phys. Rev. 130 (1963) 2061 ",.................................... H,"K.Berkelman,etal.",1963
Electronic,Du63,"B.Dudelzak, G.Sauvage, P.Lehmann: Nuovo Cim. 28 (1963) 18 ",............ H,"B.Dudelzak,G.Sauvage,P.Lehmann",1963
Electronic,Go63,"J.Goldemberg, J.J.Pine, D.Yount: Phys. Rev. 132 (1963) 406 ","................ Co, Bi","J.Goldemberg,J.J.Pine,D.Yount",1963
Electronic,Ha63,"L.N.Hand, D.G.Miller, and R.Wilson: Rev. Mod. Phys., 35 (1963) 335 ",... H re-analysis,"L.N.Hand,D.G.Miller,R.Wilson",1963
Electronic,Re63,"J.Repellin: Diplome, Orsay, France, L.A.L. 1046 (1963) ",......................... C,J.Repellin,1046
Electronic,Be64,"J.Bellicard, P.Barreau, and D.Blum: Nucl. Phys. 60 (1964) 319 ",............. Cr,"J.Bellicard,P.Barreau,D.Blum",1964
Electronic,Bi64,"G.R.Bishop, M.Bemheim, P.Kossanyi-Demay: Nucl. Phys. 54(1964)353 …. N",,"G.R.Bishop,M.Bemheim,P.Kossanyi-Demay",1964
Electronic,E164,"L.R.B.Elton, and A.Swift: Proc. Phys. Soc. 84 (1964) 125 ","...................... Re-anal: V, Co, In, Sb,Bi, Fe,Ni","L.R.B.Elton,A.Swift",1964
Electronic,Lo64,"Rlombard: Thesis, Orsay, France, L.A.L. 1099 (1964) ",.......................... AI,Rlombard,1099
Electronic,Lo64a,"Rlombard, P.Kossanyi-Demay, G.R.Bishop: Nuc/. Phys. 59(1964)398 ", S,"Rlombard,P.Kossanyi-Demay,G.R.Bishop",1964
Electronic,Ng64,"C.H.Nguyen-Ngoc: Thesis, Masson, Paris (1964) unpublished ",.............. Be,C.H.Nguyen-Ngoc,1964
Electronic,Co65,"H.Collard, et al.: Phys. Rev. 138 (1965) 857 ","........................................... H, He","H.Collard,etal.",1965
Electronic,Cr65,"M.Croissiaux, etal.: Phys. Rev.137 (1965) 8865 ",................................... Ca,"M.Croissiaux,etal.",1965
Electronic,Du65,"B.Dudelzak, PhD.Diss., Univ. Paris: (1965), Orsay, Serie A No.103 ",.... n,"B.Dudelzak,PhD.Diss.,Univ.Paris",1965
Electronic,Fr65,"H.Frank, D.Haas, and H.Prange: Phys. Letters, 19 (1965) 391,719 ",...... He,"H.Frank,D.Haas,H.Prange",1965
Electronic,Ko65,"P.Kossanyi-Demay, R.Lombard, G.R.Bishop: Nucl. Phys. 62(1965)615 ", P,"P.Kossanyi-Demay,R.Lombard,G.R.Bishop",1965
Electronic,Pe65,"G.A.Peterson, J.F.Ziegler, RB.Clark: Phys. Letters, 17 (1965) 320 ",....... Pb,"G.A.Peterson,J.F.Ziegler,RB.Clark",1965
Electronic,Br66,"A.Browman, B.Grossetete, D.Yount: Phys. Rev. 143 (1966) 899 ",........... Bi,"A.Browman,B.Grossetete,D.Yount",1966
Electronic,Cr66,H.Crannell: Phys. Rev. 148 (1966) 1107 ,"................................................. C, 0",H.Crannell,1966
Electronic,En66,REngfer: Z. Physik 192 (1966) 29 ,........................................................... Ti,REngfer,1966
Electronic,Fr66,"D.Frerejaque, D.Benaksas, D.Drickey: Phys. Rev. 141(1966)1308 ",........ H,"D.Frerejaque,D.Benaksas,D.Drickey",1966
Electronic,Fr66a,"RF.Frosch, etal.: Phys. Letters, 21 (1966} 598 ",...................................... He,"RF.Frosch,etal.",1966
Electronic,Ja66,"T.Janssens, et al.: Phys. Rev. 142 (1966) 922 ",......................................... H,"T.Janssens,etal.",1966
Electronic,Kr66,"VE.Krohn, and G.Ringo: Phys. Rev. 148 (1966) 1303 ",.......................... neutron,"VE.Krohn,G.Ringo",1966
Electronic,Ni66,"G.J.C. van Niftrik, and R.Engfer: Phys. Letters, 22 (1966) 490 ","............... Pb, Bi","G.J.C.vanNiftrik,R.Engfer",1966
Electronic,St66b,"T.Stovall, J.Goldemberg, D.B.lsabelle: Nucl. Phys. 86 (1966) 225 ",......... B,"T.Stovall,J.Goldemberg,D.B.lsabelle",1966
Electronic,Th66,"H.Theissen, REngfer, G. van Niftrik: Phys. Letters, 22 (1966) 623 ",........ Ti,"H.Theissen,REngfer,G.vanNiftrik",1966
Electronic,Af67,"N.G.Afanasev, et al.: Yad. Fiz. 5 (1967) 318 ",........................................... C,"N.G.Afanasev,etal.",1967
Electronic,Af67a,N.G.Afanasev et al: /. Cont. Nucl. Struct. Tokyo (Sept. 1967) p.366 ,"....... Be, C, Al",N.G.Afanasevetal,1967
Electronic,Ba67b,"P.Barreau, and J.B.Bellicard: Phys. Letters, 25B (1967) 470 ",................. Sn,"P.Barreau,J.B.Bellicard",1967
Electronic,Be67,"J.B.Bellicard, K.J. van Oostrum: Phys. Rev. Lett. 19 (1967) 242 ",............ Pb,"J.B.Bellicard,K.J.vanOostrum",1967
Electronic,Be67a,"H.A.Bentz, REngfer, W.BOhring: Nucl. Phys. A101 (1967) 527 ",............. Be,"H.A.Bentz,REngfer,W.BOhring",1967
Electronic,Be67b,"J.B.Bellicard, etal.: Phys. Rev. Lett. 19 (1967) 527 ","................................ Ca, Ti","J.B.Bellicard,etal.",1967
Electronic,Cr67,"H. L. Crannell, et al.: Bull. Am. Phys. Soc. 12 ( 1967) 51 ",........................... C,"H.L.Crannell,etal.",1967
Electronic,En67,"REngfer, and T.TOrck: Z.Physik, A205 (1967) 90 ",................................... C,"REngfer,T.TOrck",1967
Electronic,Fr67,"RF.Frosch, et al.: Phys. Rev. 160 (1967) 874 ",........................................ He,"RF.Frosch,etal.",1967
Electronic,Ho67,"R.Hofstadter, and H.R.Collard: Landolt-86rnstein, New series, Group Nuclear Physics and Technology, vol. 2, Nuclear Radii, ed. H.Schopper, Springer-Verlag, Berlin (1967) pp. 21-54:", Many: compilation,"R.Hofstadter,H.R.Collard",1967
Electronic,Lo67,"RM.Lombard, and G.R.Bishop: Nucl. Phys. A101 (1967) 601 ",............... Al,"RM.Lombard,G.R.Bishop",1967
Electronic,Sa67,"RS.Safrata, et al.: Phys. Rev. Lett. 18 (1967) 667 ",.................................. Ho,"RS.Safrata,etal.",1967
Electronic,Sa67a,"G.A.Savitski, et al.: Yad. Fiz. 6 (1967) 685 ",.............................................. Si,"G.A.Savitski,etal.",1967
Electronic,Sh67,"N.G.Shevchenko, et al.: Yad. Fiz. 6 (1967) 1119 ",.................................... La,"N.G.Shevchenko,etal.",1967
Electronic,Sh67a,"N.G.Shevchenko, et al.: Yad. Fiz. 5 (1967) 948 ","...................................... Y, Nb","N.G.Shevchenko,etal.",1967
Electronic,Sh67b,"N.G.Shevchenko, etal.: Nucl. Phys. A101 (1967) 187 ",............................ La,"N.G.Shevchenko,etal.",1967
Electronic,St67,"T.Stovall, D.Vinciguerra, and M.Bemheim: Nucl. Phys. A91 (1967) 513 ", Al,"T.Stovall,D.Vinciguerra,M.Bemheim",1967
Electronic,Su67,"L.RSuelzle, M.RYearian, and H.Crannell: Phys. Rev. 162 (1967) 992 ",.. Li,"L.RSuelzle,M.RYearian,H.Crannell",1967
Electronic,Th67,"H.Theissen: Z. Physik, 202 (1967) 190 ",................................................... Ti,H.Theissen,1967
Electronic,Er68,"U.Erich, et al.: Z. Physik 209 (1968) 208 ",................................................. He,"U.Erich,etal.",1968
Electronic,Fr68,"RF.Frosch, et al.: Phys. Rev. 174 (1968) 1380 ","...................................... Ca, Ti","RF.Frosch,etal.",1968
Electronic,Kh68,"V.M.Khvastunov, et al.: Phys. Letters 28B (1968) 119 ","............................ Ni, Sn","V.M.Khvastunov,etal.",1968
Electronic,Kh68a,"V.M.Khvastunov, et al.: Pis'ma v Zh.E. T.F. 8 (1968) 420 ","....................... Ni, Sn","V.M.Khvastunov,etal.",1968
Electronic,Be69,"M.Bemheim, eta!.: Phys. Letters308 (1969)412 ",................................... Be,"M.Bemheim,eta!.",1969
Electronic,Be69a,H.A.Bentz: Z. Naturf. 24a (1969) 858 ,"...................................................... C, N, 0",H.A.Bentz,1969
Electronic,Cu69,"T.H.Curtis, et al.: Phys. Rev. 184 (1969) 1162 ",........................................ Sn,"T.H.Curtis,etal.",1969
Electronic,Da69,"EB.Dally, M.G.Croissiaux, B.Schweitz: Phys. Rev. 188(1969)1590 ",....... N,"EB.Dally,M.G.Croissiaux,B.Schweitz",1969
Electronic,Ei69,"RA.Eisenstein, et al.: Phys. Rev. 188 (1969) 1815 ",................................. Ca,"RA.Eisenstein,etal.",1969
Electronic,He69,"J.Heisenberg, et al.: Phys. Rev. Lett. 23 (1969) 1402 ",............................. Pb,"J.Heisenberg,etal.",1969
Electronic,Kh69,"V.M.Khvastunov, et al.: Yad. Fiz. 10 (1969) 217 ",..................................... Ni,"V.M.Khvastunov,etal.",1969
Electronic,Ni69,G.J.C. van Niftrik: Nuc/. Phys. A131 (1969) 574 ,"..................................... Pb, Bi",G.J.C.vanNiftrik,1969
Electronic,Sa69a,"G.A.Savitski, et al.: lzv. Ak. Nauk. SSSR, Ser. Fiz. 33 (1969) 60 ","........... Na, K","G.A.Savitski,etal.",1969
Electronic,Th69,"H.Theissen, et al.: Phys. Rev. 186 (1969) 1119 ",...................................... Mn,"H.Theissen,etal.",1969
Electronic,Af70,"V.D.Afanasev, et al.: Yad. Fiz. 12 (1970) 673 ",......................................... Zn,"V.D.Afanasev,etal.",1970
Electronic,Be70,"J.Bellicard, et al.: Nucl. Phys. A143 (1970) 213 ",...................................... Zr,"J.Bellicard,etal.",1970
Electronic,Be70a,"H.A.Bentz, M.Loewenhaupt, H.Theissen: Z. Physik, 231(1970)484 ","........ AI, Si","H.A.Bentz,M.Loewenhaupt,H.Theissen",1970
Electronic,Bu70,F.A.Bumiller: Phys. Rev. Lett. 25 (1970) 1774 ,........................................ H,F.A.Bumiller,1970
Electronic,Da70,"EB.Dally, M.G.Croissiaux, B.Schweitz: Phys. Rev. C2(1970)2057 ",........ N,"EB.Dally,M.G.Croissiaux,B.Schweitz",1970
Electronic,Fi70,"J.R.Ficenec, et al.: Phys. Letters, 32B (1970) 460 ",.................................. Ni,"J.R.Ficenec,etal.",1970
Electronic,He70a,"J.Heisenberg, J.S.McCarthy, I.Sick: Nucl. Phys. A157 (1970) 435 ",......... C,"J.Heisenberg,J.S.McCarthy,I.Sick",1970
Electronic,Hu70,"H.Hultzsch: Ph.D. Thesis, Univ. Mainz, 1970 (unpublished) ",.................... S,H.Hultzsch,1970
Electronic,Ju70,"P.Junk: Ph.D. Thesis, Univ. Mainz, 1970 (unpublished) ",.......................... Mg,P.Junk,1970
Electronic,Kh70b,"V.M.Khvastunov, etal.: Nucl. Phys. A146 (1970) 15 ","............................... Ni, Sn","V.M.Khvastunov,etal.",1970
Electronic,MC70,"J.S.McCarthy, et al.: Phys. Rev. Lett. 25 (1970) 884 ",............................... He,"J.S.McCarthy,etal.",1970
Electronic,Ml70,"G.M0hlhaupt: Ph.D. Thesis, Univ. Mainz, 1970 (unpublished) ",................ Si,G.M0hlhaupt,1970
Electronic,Si70a,"RP.Singha!, J.R.Moreira, H.S.Caplan: Phys. Rev. Lett. 24 (1970) 73 ",.... 0,"RP.Singha!,J.R.Moreira,H.S.Caplan",1970
Electronic,Si70b,"I.Sick, and J.S.McCarthy: Nuc/. Phys. A150 (1970) 631 ","......................... C, 0","I.Sick,J.S.McCarthy",1970
Electronic,Th70,"H.Theissen, H.Fink, and H.A.Bentz: Z. Physik, 231 (1970) 475 ",".............. Sc,V, Fe,Co,Ni,Cu,Zn","H.Theissen,H.Fink,H.A.Bentz",1970
Electronic,Vl70,"V.G.Vlasenko, et al.: Proc. Conf. Leningrad, Jan. 1970, vol.2, p.123 ","..... B, Al","V.G.Vlasenko,etal.",1970
Electronic,Be71,"H.A.Bentz: Z. Physik, 243 (1971) 138 ","..................................................... C, N, 0",H.A.Bentz,1971
Electronic,Fa71,"LA.Fajardo, J.R.Ficenec, W.P.Trower: Phys. Lett. 378(1971)363 ",......... Zr,"LA.Fajardo,J.R.Ficenec,W.P.Trower",1971
Electronic,Gr71,"J.L.Groh, RP.Singha!, H.S.Caplan: Can. J. Phys. 49(1971)2073 ",........... Ar,"J.L.Groh,RP.Singha!,H.S.Caplan",1971
Electronic,He71,"J.H.Heisenberg, J.S.McCarthy, I.Sick: Nucl.Phys. A164(1971)353 ",........ Ti,"J.H.Heisenberg,J.S.McCarthy,I.Sick",1971
Electronic,He71a,"J.H.Heisenberg, et al.: Nuc/. Phys. A164 (1971) 340 ",.............................. Nd,"J.H.Heisenberg,etal.",1971
Electronic,Li71,"G.C.Li, I.Sick, M.RYearian: Phys. Letters, 37B (1971) 282 ",".................... Mg, Si, S","G.C.Li,I.Sick,M.RYearian",1971
Electronic,Li71a,"G.C.Li, et al.: Nucl. Phys. A162 (1971) 583 ",............................................. Li,"G.C.Li,etal.",1971
Electronic,Li71,"b A.S.Litvinenko, et al.: Yad. Fiz. 14 (1971) 40 ",".......................................... Fe, Ni","bA.S.Litvinenko,etal.",1971
Electronic,Ma71,"D.W.Madsen, et al.: Nucl. Phys. A168 (1971) 97 ",.................................... Nd,"D.W.Madsen,etal.",1971
Electronic,Mo71,"J.R.Moreira, RP.Singha!, H.S.Caplan: Can. J. Phys. 49(1971)1434 ",...... Ne,"J.R.Moreira,RP.Singha!,H.S.Caplan",1971
Electronic,Ri71,"RRiskalla: Ph.D. Thesis, Univ. Paris, Orsay LAL 1243(1971) unpubl. ",... B,RRiskalla,1243
Electronic,Sc71,"W.Sch0tz, and H.Frank: Z. Physik, 243 (1971) 132 ",................................ Ar,"W.Sch0tz,H.Frank",1971
Electronic,Sc71a,"W.Sch0tz, et al.: Z. Naturf. 26a (1971) 2070 ","........................................... N, 0","W.Sch0tz,etal.",1971
Electronic,Si71,"R.P.Singhal, et al.: Joum. Phys. A: Gen. Phys. 4 (1971) L93 ","................. Y, Zr, Mo","R.P.Singhal,etal.",1971
Electronic,Uh71,"F.J.Uhrhane, J.S.McCarthy, M.R.Yearian: Phys. Rev. Lett. 26(1971)578", Ho,"F.J.Uhrhane,J.S.McCarthy,M.R.Yearian",1971
Electronic,Ak72,"Yu.K.Akimov, et al.: Zh. Eksp. Teor. Fiz. 62 (1972) 1231 ",........................ H,"Yu.K.Akimov,etal.",1972
Electronic,Be72,"W.Bertozzi, etal.: Phys. Rev. Lett. 28 (1972) 1711 ",................................. Sm,"W.Bertozzi,etal.",1972
Electronic,Bu72,"F.A.Bumiller, et al.: Phys. Rev. CS (1972) 391 ",........................................ Li,"F.A.Bumiller,etal.",1972
Electronic,Cu72,"C.S.Curran, et al.: J. Phys. A.: Gen. Phys. 5 (1972) L39 ",......................... Mg,"C.S.Curran,etal.",1972
Electronic,Fi72,"J.R.Ficenec, et al.: Phys. Letters, 42B (1972) 213 ",.................................. Sn,"J.R.Ficenec,etal.",1972
Electronic,Fr72,"H.Frank et al: AED-Conf. 71-400 Giessen 1972, ed. H.Schneider p.177 ",. Ne,H.Franketal,1972
Electronic,Fr72b,"J.Friedrich, and F.Lenz: Nucf. Phys. A183 (1972) 523 ",............................ Pb,"J.Friedrich,F.Lenz",1972
Electronic,Ge72,"W.J.Gerace, and G.C.Hamilton: Phys. Letters 39B (1972) 481 ",.............. N,"W.J.Gerace,G.C.Hamilton",1972
Electronic,He72,"J.Heisenberg, et al.: Phys. Rev. C6 (1972) 381 ",...................................... Ti,"J.Heisenberg,etal.",1972
Electronic,Ja72,"J.A.Jansen, R.Th.Peerdeman, C.DeVries: Nucl. Phys. A188(1972)337 ",". C, Be","J.A.Jansen,R.Th.Peerdeman,C.DeVries",1972
Electronic,Li72b,"A.S.Litvinenko, et al.: Yad. Fiz.15 (1972) 1104 ","...................................... Ni, Zn","A.S.Litvinenko,etal.",1972
Electronic,Li72c,"A.S.Litvinenko, et al.: Nucl. Phys. A182 (1972) 265 ",................................ Sn,"A.S.Litvinenko,etal.",1972
Electronic,Na72,"A.Nakada, and Y.Torizuka: J. Phys. Soc. Japan 32 (1972) 1 ",".................. Mg, Si","A.Nakada,Y.Torizuka",1972
Electronic,Ne72,"R.Neuhausen, et al.: Phys. Rev. CS (1972) 124 ",...................................... Zn,"R.Neuhausen,etal.",1972
Electronic,Ph72,"Phan Xuan Ho, et al.: Nucl. Phys. A179 (1972) 529 ","............................... Zr, Mo","PhanXuanHo,etal.",1972
Electronic,Si72,"B.B.P.Sinha, and G.A.Peterson: Phys. Rev. C6 (1972) 1657 ","................. P, S","B.B.P.Sinha,G.A.Peterson",1972
Electronic,Th72,"H.Theissen: Habilitationsschrift, T.H.Darmstadt (1972) unp., from Vr87 ",. H,H.Theissen,1972
Electronic,Al73,"J.Alster, et al.: Phys. Rev. C7 (1973) 1089 ",.............................................. Sr,"J.Alster,etal.",1973
Electronic,Be73a,"R.W.Berard, et al.: Phys. Letters, 47B (1973) 355 ",".................................. neutron, H","R.W.Berard,etal.",1973
Electronic,Ca73,"L.S.Cardman, et al.: Nucf. Phys. A216 (1973) 285 ",.................................. Sm,"L.S.Cardman,etal.",1973
Electronic,Dr73,"B.Dreher et al.: Proc. Int. Conf. Photonucl. Reactions and Applications Asilomar (Calif.) 1973, ed. B.L.Berman, p.191 ",". Zr, Mo",B.Dreheretal.,1973
Electronic,Fe73a,"G.Fey, et al.: Z. Physik, 265 (1973) 401 ",".................................................. C +many, re-anal","G.Fey,etal.",1973
Electronic,Ha73b,"P.L.Hallowell, et al.: Phys. Rev. C7 (1973) 1396 ","..................................... F, Ca","P.L.Hallowell,etal.",1973
Electronic,Ja73,"C.W. de Jager: Ph.D. Thesis, Univ. Amsterdam (1973) unpubl. ",............. Pb,C.W.deJager,1973
Electronic,Ka73,"D.Kalinsky, et al.: Nucl. Phys. A216 (1973) 312 ",...................................... W,"D.Kalinsky,etal.",1973
Electronic,Kl73,"F.J.Kline, et al.: Nucf. Phys. A209 (1973) 381 ",......................................... C,"F.J.Kline,etal.",1973
Electronic,Ko73,L.Koester (From Kr73) ,............................................................................. neutron,L.Koester(FromKr73),
Electronic,Kr73,"V.E.Krohn, and G.R.Ringo: Phys. Rev. D8 (1973) 1305 ",......................... neutron,"V.E.Krohn,G.R.Ringo",1973
Electronic,Li73,"A.S.Litvinenko, et al.: Yad. Fiz. 18 (1973) 250 ",........................................ Zn,"A.S.Litvinenko,etal.",1973
Electronic,Me73a,"K.Merle: Proc. Int. Cont. on Photonuclear Reactions and Applications Asilomar (Calif.) 1973, ed. B.L.Berman, p. 889, 893 ","... C, P",K.Merle,1973
Electronic,Pe73,"G.A.Peterson, et al.: Phys. Rev. C7 (1973) 1028 ",.................................... V,"G.A.Peterson,etal.",1973
Electronic,Si73a,"B.B.P.Sinha, et al.: Phys. Rev. C7 (1973) 1930 ","...................................... K, Ca","B.B.P.Sinha,etal.",1973
Electronic,Si73b,I.Sick: Nucf. Phys. A208 (1973) 557 ,"........................................................ Pb, Bi",I.Sick,1973
Electronic,Si73c,"R.P.Singhal, et al.: Nucl. Phys. A216 (1973) 29 ","...................................... Sr, Y, Zr, Mo","R.P.Singhal,etal.",1973
Electronic,Av74,"H.Averdung: Internal Report KPH 3ll4, Mainz, 1974 (unpubl.) ","............... Mg, Si, S reanal",H.Averdung,1974
Electronic,8074,"F.Borkowski, et al.: Nucl. Phys. A222 (1974) 269 ",................................... H,"F.Borkowski,etal.",1974
Electronic,Dr74,"B.Dreher, et al.: Nucl. Phys. A235 (1974) 219 ",......................................... Pb,"B.Dreher,etal.",1974
Electronic,Dr74a,"B.Dreher, Ph.D. Thesis, Univ. Mainz (1974) unpublished (from Ja74) ",.... Zr,"B.Dreher,Ph.D.Thesis,Univ.Mainz(1974)unpublished(fromJa74)",1974
Electronic,Fi74,"S.P.Fivozinsky, etal.: Phys. Rev. C9 (1974) 1533 ",".................................. Sr, Y","S.P.Fivozinsky,etal.",1974
