Iso_Idxs,Value,Unc,RefRemarks,Term,Include,Table
"38.088.0,40.090.0",,,"Fr95,   mu",R40.090.0-R38.088.0,,noniso
"40.090.0,42.092.0",,,"Vr87 (Ph72),   el",R42.092.0-R40.090.0,,noniso
"40.090.0,42.092.0",,,"Vr87 (Dr75),  el(FB)",R42.092.0-R40.090.0,,noniso
"40.092.0,41.093.0",,,"Fr95,   mu",R41.093.0-R40.092.0,,noniso
"40.092.0,42.094.0",,,"Fr95,   mu",R42.094.0-R40.092.0,,noniso
"42.0100.0,44.0102.0",,,"Fr95,   mu",R44.0102.0-R42.0100.0,,noniso
"44.0102.0,45.0103.0",,,"Fr95,   mu",R45.0103.0-R44.0102.0,,noniso
"44.0102.0,46.0104.0",,,"Fr95,   mu",R46.0104.0-R44.0102.0,,noniso
"46.0108.0,47.0109.0",,,"Fr95,   mu",R47.0109.0-R46.0108.0,,noniso
"46.0108.0,48.0110.0",,,"Fr95,   mu",R48.0110.0-R46.0108.0,,noniso
"48.0114.0,49.0115.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R49.0115.0-R48.0114.0,No,noniso
"48.0114.0,50.0116.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R50.0116.0-R48.0114.0,No,noniso
"50.0122.0,52.0124.0",,,"Fr95,   mu",R52.0124.0-R50.0122.0,,noniso
"51.0123.0,52.0124.0",,,"Fr95,   mu",R52.0124.0-R51.0123.0,,noniso
"52.0126.0,53.0127.0",,,"Fr95,   mu",R53.0127.0-R52.0126.0,,noniso
"52.0126.0,54.0128.0",,,"Fr95,   mu",R54.0128.0-R52.0126.0,,noniso
"54.0132.0,55.0133.0",,,"Fr95,   mu",R55.0133.0-R54.0132.0,,noniso
"54.0132.0,56.0134.0",,,"Fr95,   mu",R56.0134.0-R54.0132.0,,noniso
"56.0138.0,57.0139.0",,,"Fr95,   mu",R57.0139.0-R56.0138.0,,noniso
"56.0138.0,58.0140.0",,,"Fr95,   mu",R58.0140.0-R56.0138.0,,noniso
"58.0140.0,59.0141.0",,,"Fr95,   mu",R59.0141.0-R58.0140.0,,noniso
"58.0140.0,60.0142.0",,,"Fr95,   mu",R60.0142.0-R58.0140.0,,noniso
"60.0142.0,62.0144.0",,,"Fr95,   mu",R62.0144.0-R60.0142.0,,noniso
"62.0152.0,63.0153.0",,,"Fr95,   mu",R63.0153.0-R62.0152.0,,noniso
"62.0152.0,64.0154.0",,,"Fr95,   mu",R64.0154.0-R62.0152.0,,noniso
"64.0160.0,66.0162.0",,,"Fr95,   mu",R66.0162.0-R64.0160.0,,noniso
"66.0164.0,68.0166.0",,,"Fr95,   mu",R68.0166.0-R66.0164.0,,noniso
"70.0174.0,72.0176.0",,,"Fr95,   mu",R72.0176.0-R70.0174.0,,noniso
"72.0180.0,73.0181.0",,,"Fr95,   mu",R73.0181.0-R72.0180.0,,noniso
"72.0180.0,74.0182.0",,,"Fr95,   mu",R74.0182.0-R72.0180.0,,noniso
"74.0186.0,76.0188.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R76.0188.0-R74.0186.0,No,noniso
"76.0192.0,78.0194.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R78.0194.0-R76.0192.0,No,noniso
"78.0196.0,79.0197.0",,,"Fr95,   mu",R79.0197.0-R78.0196.0,,noniso
"78.0196.0,80.0198.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R80.0198.0-R78.0196.0,No,noniso
"80.0202.0,81.0203.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R81.0203.0-R80.0202.0,No,noniso
"81.0203.0,82.0204.0",,,"Vr87 (Eu78),   el(FB)",R82.0204.0-R81.0203.0,,noniso
"80.0204.0,82.0206.0",,,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",R82.0206.0-R80.0204.0,No,noniso
"81.0205.0,82.0206.0",,,"Vr87 (Eu78),   el(FB)",R82.0206.0-R81.0205.0,,noniso
"82.0208.0,83.0209.0",,,"Fr95,   mu",R83.0209.0-R82.0208.0,,noniso
"2.03.0,2.04.0",,,Vr87 (Gu82) MI,R2.04.0-R2.03.0,,isoe
"3.06.0,3.07.0",,,"Vr87 (Be65) MI, +10",R3.07.0-R3.06.0,,isoe
"3.06.0,3.07.0",,,"Vr87 (Su67) MI, + 10",R3.07.0-R3.06.0,,isoe
"6.012.0,6.013.0",,,Ja74,R6.013.0-R6.012.0,,isoe
"6.012.0,6.013.0",,,Vr87 (Ya71),R6.013.0-R6.012.0,,isoe
"6.012.0,6.014.0",,,Vr87 (Kl73),R6.014.0-R6.012.0,,isoe
"7.014.0,7.015.0",,,Vr87 (Sc75),R7.015.0-R7.014.0,,isoe
"8.016.0,8.017.0",,,Vr87 (Si70a) + 5,R8.017.0-R8.016.0,,isoe
"8.016.0,8.017.0",,,Vr87 (Ki78),R8.017.0-R8.016.0,,isoe
"8.016.0,8.017.0",,,Vr87 (Mi79)  FB,R8.017.0-R8.016.0,,isoe
"8.016.0,8.018.0",,,Vr87 (Si70a),R8.018.0-R8.016.0,,isoe
"8.016.0,8.018.0",,,Vr87 (Sc75),R8.018.0-R8.016.0,,isoe
"8.016.0,8.018.0",,,Vr87 (Mi79)   FB,R8.018.0-R8.016.0,,isoe
"10.020.0,10.022.0",,,Vr87 (Mo71),R10.022.0-R10.020.0,,isoe
"10.020.0,10.022.0",,,Vr87 (Kn81),R10.022.0-R10.020.0,,isoe
"12.024.0,12.025.0",,,Vr87 (Le76),R12.025.0-R12.024.0,,isoe
"12.024.0,12.026.0",,,Vr87 (Kh70a) + 5,R12.026.0-R12.024.0,,isoe
"12.024.0,12.026.0",,,Vr87 (Le76),R12.026.0-R12.024.0,,isoe
"14.028.0,14.029.0",,,Vr87 (Br77),R14.029.0-R14.028.0,,isoe
"14.028.0,14.030.0",,,Vr87 (Br77),R14.030.0-R14.028.0,,isoe
"16.032.0,16.034.0",,,Vr87 (Ry83a)   FB,R16.034.0-R16.032.0,,isoe
"16.032.0,16.036.0",,,Vr87 (Ry83a)   FB,R16.036.0-R16.032.0,,isoe
"16.034.0,16.036.0",,,Vr87 (Ry83a)   FB,R16.036.0-R16.034.0,,isoe
"20.040.0,20.042.0",,,Vr87 (Fr68) est.,R20.042.0-R20.040.0,,isoe
"20.040.0,20.044.0",,,Vr87 (Fr68) est.,R20.044.0-R20.040.0,,isoe
"20.040.0,20.048.0",,,Vr87 (Fr68),R20.048.0-R20.040.0,,isoe
"20.040.0,20.048.0",,,Vr87 (Em83b)   FB,R20.048.0-R20.040.0,,isoe
"22.046.0,22.048.0",,,Vr87 (Th67) + 5,R22.048.0-R22.046.0,,isoe
"22.046.0,22.048.0",,,Vr87 (Ro71),R22.048.0-R22.046.0,,isoe
"22.046.0,22.048.0",,,Vr87 (He72),R22.048.0-R22.046.0,,isoe
"22.046.0,22.050.0",,,Vr87 (Th67) + 5,R22.050.0-R22.046.0,,isoe
"22.046.0,22.050.0",,,Vr87 (Ro71),R22.050.0-R22.046.0,,isoe
"22.046.0,22.050.0",,,Vr87 (He72),R22.050.0-R22.046.0,,isoe
"22.048.0,22.050.0",,,Vr87 (Ro71),R22.050.0-R22.048.0,,isoe
"22.048.0,22.050.0",,,Vr87 (He72),R22.050.0-R22.048.0,,isoe
"24.050.0,24.052.0",,,Vr87 (La76),R24.052.0-R24.050.0,,isoe
"24.050.0,24.052.0",,,Vr87 (Sh78b) + 5,R24.052.0-R24.050.0,,isoe
"24.050.0,24.053.0",,,Vr87 (Sh78b) + 5,R24.053.0-R24.050.0,,isoe
"24.050.0,24.054.0",,,Vr87 (La76),R24.054.0-R24.050.0,,isoe
"24.050.0,24.054.0",,,Vr87 (Sh78b) + 5,R24.054.0-R24.050.0,,isoe
"24.052.0,24.054.0",,,Vr87 (La76),R24.054.0-R24.052.0,,isoe
"26.054.0,26.056.0",,,Vr87 (Wo80)  FB+mu,R26.056.0-R26.054.0,,isoe
"26.056.0,26.058.0",,,Vr87 (Wo80)  FB+mu,R26.058.0-R26.056.0,,isoe
"28.058.0,28.060.0",,,Vr87 (Wo80)  FB+mu,R28.060.0-R28.058.0,,isoe
"28.058.0,28.062.0",,,Vr87 (Li71b) + 5,R28.062.0-R28.058.0,,isoe
"28.058.0,28.062.0",,,Vr87 (Ke77),R28.062.0-R28.058.0,,isoe
"28.058.0,28.064.0",,,Vr87 (Kh70b) est,R28.064.0-R28.058.0,,isoe
"28.060.0,28.062.0",,,Vr87 (Wo80)  FB+mu,R28.062.0-R28.060.0,,isoe
"28.060.0,28.064.0",,,Vr87 (Kh70b) est,R28.064.0-R28.060.0,,isoe
"28.062.0,28.064.0",,,Vr87 (Wo80)  FB+mu,R28.064.0-R28.062.0,,isoe
"29.063.0,29.065.0",,,Vr87 (Sc77),R29.065.0-R29.063.0,,isoe
"30.064.0,30.066.0",,,Vr87 (Ke77),R30.066.0-R30.064.0,,isoe
"30.064.0,30.066.0",,,Vr87 (Wo80)  FB+mu,R30.066.0-R30.064.0,,isoe
"30.066.0,30.068.0",,,Vr87 (Ne72),R30.068.0-R30.066.0,,isoe
"30.066.0,30.068.0",,,Vr87 (Ke77),R30.068.0-R30.066.0,,isoe
"30.066.0,30.068.0",,,Vr87 (Wo80)  FB+mu,R30.068.0-R30.066.0,,isoe
"30.068.0,30.070.0",,,Vr87 (Ne72),R30.070.0-R30.068.0,,isoe
"30.068.0,30.070.0",,,Vr87 (Ke77),R30.070.0-R30.068.0,,isoe
"30.068.0,30.070.0",,,Vr87 (Wo80)  FB+mu,R30.070.0-R30.068.0,,isoe
"32.070.0,32.072.0",,,Vr87 (Ma84) FB,R32.072.0-R32.070.0,,isoe
"32.070.0,32.076.0",,,Vr87 (Ma84) FB,R32.076.0-R32.070.0,,isoe
"32.072.0,32.074.0",,,Vr87 (Ma84) FB,R32.074.0-R32.072.0,,isoe
"32.074.0,32.076.0",,,Vr87 (Ma84) FB,R32.076.0-R32.074.0,,isoe
"40.090.0,40.092.0",,,Ro76   FB,R40.092.0-R40.090.0,,isoe
"40.092.0,40.094.0",,,Ro76   FB,R40.094.0-R40.092.0,,isoe
"42.092.0,42.094.0",,,Vr87 (Dr75)  FB,R42.094.0-R42.092.0,,isoe
"42.094.0,42.096.0",,,Vr87 (Dr75)  FB,R42.096.0-R42.094.0,,isoe
"42.096.0,42.098.0",,,Vr87 (Dr75)  FB,R42.098.0-R42.096.0,,isoe
"42.098.0,42.0100.0",,,Vr87 (Dr75)  FB,R42.0100.0-R42.098.0,,isoe
"48.0110.0,48.0112.0",,,Vr87 (Gi75),R48.0112.0-R48.0110.0,,isoe
"48.0110.0,48.0116.0",,,Vr87 (Gi75),R48.0116.0-R48.0110.0,,isoe
"48.0112.0,48.0114.0",,,Vr87 (Gi75),R48.0114.0-R48.0112.0,,isoe
"48.0114.0,48.0116.0",,,Vr87 (Gi75),R48.0116.0-R48.0114.0,,isoe
"50.0112.0,50.0118.0",,,Vr87 (Kh70b) est,R50.0118.0-R50.0112.0,,isoe
"50.0116.0,50.0118.0",,,Vr87 (Li72b) + 5,R50.0118.0-R50.0116.0,,isoe
"50.0116.0,50.0124.0",,,Vr87 (Li72b) + 5,R50.0124.0-R50.0116.0,,isoe
"50.0118.0,50.0124.0",,,Vr87 (Li72b) + 5,R50.0124.0-R50.0118.0,,isoe
"60.0142.0,60.0146.0",,,"Vr87 (Ma74),+K-X-rays",R60.0146.0-R60.0142.0,,isoe
"60.0142.0,60.0150.0",,,"Vr87 (Ma74),+K-X-rays",R60.0150.0-R60.0142.0,,isoe
"60.0146.0,60.0150.0",,,"Vr87 (Ma74),+K-X-rays",R60.0150.0-R60.0146.0,,isoe
"62.0148.0,62.0150.0",,,Vr87 (Ca73),R62.0150.0-R62.0148.0,,isoe
"62.0148.0,62.0152.0",,,Vr87 (Ca73),R62.0152.0-R62.0148.0,,isoe
"62.0148.0,62.0152.0",,,Vr87 (Ho80)   FB,R62.0152.0-R62.0148.0,,isoe
"62.0152.0,62.0154.0",,,Vr87 (Ho80)   FB,R62.0154.0-R62.0152.0,,isoe
"82.0206.0,82.0207.0",,,Vr87 (Ja73),R82.0207.0-R82.0206.0,,isoe
"82.0206.0,82.0208.0",,,Vr87 (Ja73),R82.0208.0-R82.0206.0,,isoe
"82.0207.0,82.0208.0",,,Vr87 (Ja73),R82.0208.0-R82.0207.0,,isoe
"6.012.0,6.013.0",,,Fr95 (Sc82),R6.013.0-R6.012.0,,isom
"6.012.0,6.014.0",,,Fr95 (Sc82),R6.014.0-R6.012.0,,isom
"8.016.0,8.018.0",,,Ba80,R8.018.0-R8.016.0,,isom
"8.016.0,8.018.0",,,Fr95,R8.018.0-R8.016.0,,isom
"10.020.0,10.021.0",,,Fr95 (Fr92),R10.021.0-R10.020.0,,isom
"10.020.0,10.022.0",,,Fr95 (Fr92),R10.022.0-R10.020.0,,isom
"10.021.0,10.022.0",,,Fr92  Redund.,R10.022.0-R10.021.0,,isom
"12.024.0,12.025.0",,,Fr95 (Fr92),R12.025.0-R12.024.0,,isom
"12.024.0,12.026.0",,,Fr95 (Fr92),R12.026.0-R12.024.0,,isom
"12.025.0,12.026.0",,,Fr92  Red.,R12.026.0-R12.025.0,,isom
"14.028.0,14.029.0",,,Fr95 (Fr92),R14.029.0-R14.028.0,,isom
"14.028.0,14.030.0",,,Fr95 (Fr92),R14.030.0-R14.028.0,,isom
"14.029.0,14.030.0",,,Fr92  Red.,R14.030.0-R14.029.0,,isom
"16.032.0,16.034.0",,,Fr95 (Sc85),R16.034.0-R16.032.0,,isom
"16.032.0,16.036.0",,,Fr92  Red.,R16.036.0-R16.032.0,,isom
"16.034.0,16.036.0",,,Fr95 (Sc85),R16.036.0-R16.034.0,,isom
"18.036.0,18.038.0",,,Fr95,R18.038.0-R18.036.0,,isom
"18.038.0,18.040.0",,,Fr95,R18.040.0-R18.038.0,,isom
"19.039.0,19.041.0",,,Wo81+ 1,R19.041.0-R19.039.0,,isom
"20.040.0,20.042.0",,,Fr95  (Wo81),R20.042.0-R20.040.0,,isom
"20.040.0,20.044.0",,,En74(67EF1) R,R20.044.0-R20.040.0,,isom
"13.040.0,13.044.0",,,En74(70MB1) R,R13.044.0-R13.040.0,,isom
"20.040.0,20.048.0",,,En74(67EF1) R,R20.048.0-R20.040.0,,isom
"20.042.0,20.043.0",,,Fr95  (Wo81),R20.043.0-R20.042.0,,isom
"20.042.0,20.044.0",,,Fr95  (Wo81),R20.044.0-R20.042.0,,isom
"20.043.0,20.044.0",,,"Wo81+1, Red",R20.044.0-R20.043.0,,isom
"20.044.0,20.046.0",,,Fr95  (Wo81),R20.046.0-R20.044.0,,isom
"20.046.0,20.048.0",,,Fr95  (Wo81),R20.048.0-R20.046.0,,isom
"22.046.0,22.047.0",,,Fr95  (Wo81),R22.047.0-R22.046.0,,isom
"22.046.0,22.048.0",,,Fr95  (Wo81),R22.048.0-R22.046.0,,isom
"22.047.0,22.048.0",,,"Wo81+1, Red",R22.048.0-R22.047.0,,isom
"22.048.0,22.049.0",,,Fr95  (Wo81),R22.049.0-R22.048.0,,isom
"22.048.0,22.050.0",,,Fr95  (Wo81),R22.050.0-R22.048.0,,isom
"22.049.0,22.050.0",,,"Wo81+1, Red",R22.050.0-R22.049.0,,isom
"24.050.0,24.052.0",,,Fr95  (Wo81),R24.052.0-R24.050.0,,isom
"24.052.0,24.053.0",,,Fr95  (Wo81),R24.053.0-R24.052.0,,isom
"24.052.0,24.054.0",,,Fr95  (Wo81),R24.054.0-R24.052.0,,isom
"24.053.0,24.054.0",,,"Wo81+1, Red",R24.054.0-R24.053.0,,isom
"26.054.0,26.056.0",,,Fr95,R26.056.0-R26.054.0,,isom
"26.056.0,26.057.0",,,Fr95,R26.057.0-R26.056.0,,isom
"26.056.0,26.058.0",,,Fr95,R26.058.0-R26.056.0,,isom
"28.058.0,28.060.0",,,Fr95,R28.060.0-R28.058.0,,isom
"28.060.0,28.061.0",,,Fr95,R28.061.0-R28.060.0,,isom
"28.060.0,28.062.0",,,Fr95,R28.062.0-R28.060.0,,isom
"28.062.0,28.064.0",,,Fr95,R28.064.0-R28.062.0,,isom
"29.063.0,29.065.0",,,Fr95,R29.065.0-R29.063.0,,isom
"30.064.0,30.066.0",,,Fr95,R30.066.0-R30.064.0,,isom
"30.066.0,30.068.0",,,Fr95,R30.068.0-R30.066.0,,isom
"30.068.0,30.070.0",,,Fr95,R30.070.0-R30.068.0,,isom
"31.069.0,31.071.0",,,Fr95,R31.071.0-R31.069.0,,isom
"32.070.0,32.072.0",,,Fr95,R32.072.0-R32.070.0,,isom
"32.072.0,32.073.0",,,Fr95,R32.073.0-R32.072.0,,isom
"32.072.0,32.074.0",,,Fr95,R32.074.0-R32.072.0,,isom
"32.074.0,32.076.0",,,Fr95,R32.076.0-R32.074.0,,isom
"34.076.0,34.077.0",,,Fr95,R34.077.0-R34.076.0,,isom
"34.076.0,34.078.0",,,Fr95,R34.078.0-R34.076.0,,isom
"34.078.0,34.080.0",,,Fr95,R34.080.0-R34.078.0,,isom
"34.080.0,34.082.0",,,Fr95,R34.082.0-R34.080.0,,isom
"35.079.0,35.081.0",,,Fr95,R35.081.0-R35.079.0,,isom
"36.078.0,36.080.0",,,Fr95,R36.080.0-R36.078.0,,isom
"36.080.0,36.082.0",,,Fr95,R36.082.0-R36.080.0,,isom
"36.082.0,36.083.0",,,Fr95,R36.083.0-R36.082.0,,isom
"36.082.0,36.084.0",,,Fr95,R36.084.0-R36.082.0,,isom
"36.084.0,36.086.0",,,Fr95,R36.086.0-R36.084.0,,isom
"37.085.0,37.087.0",,,Fr95,R37.087.0-R37.085.0,,isom
"38.084.0,38.086.0",,,Fr95,R38.086.0-R38.084.0,,isom
"38.086.0,38.087.0",,,Fr95,R38.087.0-R38.086.0,,isom
"38.086.0,38.088.0",,,Fr95,R38.088.0-R38.086.0,,isom
"40.090.0,40.091.0",,,Fr95,R40.091.0-R40.090.0,,isom
"40.090.0,40.092.0",,,Fr95,R40.092.0-R40.090.0,,isom
"40.092.0,40.094.0",,,Fr95,R40.094.0-R40.092.0,,isom
"40.094.0,40.096.0",,,Fr95,R40.096.0-R40.094.0,,isom
"42.092.0,42.094.0",,,Fr95 (Sc80),R42.094.0-R42.092.0,,isom
"42.092.0,42.096.0",,,En74/70MB1+1 R,R42.096.0-R42.092.0,,isom
"42.094.0,42.095.0",,,Fr95 (Sc80),R42.095.0-R42.094.0,,isom
"42.094.0,42.096.0",,,Fr95 (Sc80),R42.096.0-R42.094.0,,isom
"42.095.0,42.096.0",,,En74/70MB1+1 R,R42.096.0-R42.095.0,,isom
"42.096.0,42.097.0",,,Fr95 (Sc80),R42.097.0-R42.096.0,,isom
"42.096.0,42.098.0",,,Fr95 (Sc80),R42.098.0-R42.096.0,,isom
"42.098.0,42.0100.0",,,Fr95 (Sc80),R42.0100.0-R42.098.0,,isom
"44.096.0,44.098.0",,,Fr95,R44.098.0-R44.096.0,,isom
"44.098.0,44.099.0",,,Fr95,R44.099.0-R44.098.0,,isom
"44.098.0,44.0100.0",,,Fr95,R44.0100.0-R44.098.0,,isom
"44.0100.0,44.0101.0",,,Fr95,R44.0101.0-R44.0100.0,,isom
"44.0100.0,44.0102.0",,,Fr95,R44.0102.0-R44.0100.0,,isom
"44.0102.0,44.0104.0",,,Fr95,R44.0104.0-R44.0102.0,,isom
"46.0102.0,46.0104.0",,,Fr95,R46.0104.0-R46.0102.0,,isom
"46.0104.0,46.0105.0",,,Fr95,R46.0105.0-R46.0104.0,,isom
"46.0104.0,46.0106.0",,,Fr95,R46.0106.0-R46.0104.0,,isom
"46.0106.0,46.0108.0",,,Fr95,R46.0108.0-R46.0106.0,,isom
"46.0108.0,46.0110.0",,,Fr95,R46.0110.0-R46.0108.0,,isom
"47.0107.0,47.0109.0",,,Fr95,R47.0109.0-R47.0107.0,,isom
"48.0106.0,48.0108.0",,,Fr95,R48.0108.0-R48.0106.0,,isom
"48.0108.0,48.0110.0",,,Fr95,R48.0110.0-R48.0108.0,,isom
"48.0110.0,48.0111.0",,,Fr95,R48.0111.0-R48.0110.0,,isom
"48.0110.0,48.0112.0",,,Fr95,R48.0112.0-R48.0110.0,,isom
"48.0112.0,48.0113.0",,,Fr95,R48.0113.0-R48.0112.0,,isom
"48.0112.0,48.0114.0",,,Fr95,R48.0114.0-R48.0112.0,,isom
"48.0114.0,48.0116.0",,,Fr95,R48.0116.0-R48.0114.0,,isom
"49.0113.0,49.0115.0",,,Fr95,R49.0115.0-R49.0113.0,,isom
"50.0112.0,50.0114.0",,,Fr95,R50.0114.0-R50.0112.0,,isom
"50.0114.0,50.0116.0",,,Fr95,R50.0116.0-R50.0114.0,,isom
"50.0116.0,50.0117.0",,,Fr95,R50.0117.0-R50.0116.0,,isom
"50.0116.0,50.0118.0",,,Fr95,R50.0118.0-R50.0116.0,,isom
"50.0116.0,50.0120.0",,,En74/68EH1+1 R,R50.0120.0-R50.0116.0,,isom
"50.0116.0,50.0124.0",,,En74/70MB1+1 R,R50.0124.0-R50.0116.0,,isom
"50.0117.0,50.0120.0",,,En74/68EH1+1 R,R50.0120.0-R50.0117.0,,isom
"50.0118.0,50.0119.0",,,Fr95,R50.0119.0-R50.0118.0,,isom
"50.0118.0,50.0120.0",,,Fr95,R50.0120.0-R50.0118.0,,isom
"50.0119.0,50.0120.0",,,En74/68EH1+1 R,R50.0120.0-R50.0119.0,,isom
"50.0120.0,50.0122.0",,,Fr95,R50.0122.0-R50.0120.0,,isom
"50.0122.0,50.0124.0",,,Fr95,R50.0124.0-R50.0122.0,,isom
"51.0121.0,51.0123.0",,,Fr95,R51.0123.0-R51.0121.0,,isom
"52.0122.0,52.0123.0",,,Fr95,R52.0123.0-R52.0122.0,,isom
"52.0122.0,52.0124.0",,,Fr95,R52.0124.0-R52.0122.0,,isom
"52.0124.0,52.0125.0",,,Fr95,R52.0125.0-R52.0124.0,,isom
"52.0124.0,52.0126.0",,,Fr95,R52.0126.0-R52.0124.0,,isom
"52.0126.0,52.0128.0",,,Fr95,R52.0128.0-R52.0126.0,,isom
"52.0128.0,52.0130.0",,,Fr95,R52.0130.0-R52.0128.0,,isom
"54.0124.0,54.0126.0",,,Fr95,R54.0126.0-R54.0124.0,,isom
"54.0126.0,54.0128.0",,,Fr95,R54.0128.0-R54.0126.0,,isom
"54.0128.0,54.0129.0",,,Fr95,R54.0129.0-R54.0128.0,,isom
"54.0128.0,54.0130.0",,,Fr95,R54.0130.0-R54.0128.0,,isom
"54.0130.0,54.0131.0",,,Fr95,R54.0131.0-R54.0130.0,,isom
"54.0130.0,54.0132.0",,,Fr95,R54.0132.0-R54.0130.0,,isom
"54.0132.0,54.0134.0",,,Fr95,R54.0134.0-R54.0132.0,,isom
"54.0134.0,54.0136.0",,,Fr95,R54.0136.0-R54.0134.0,,isom
"56.0134.0,56.0135.0",,,Fr95,R56.0135.0-R56.0134.0,,isom
"56.0134.0,56.0136.0",,,Fr95,R56.0136.0-R56.0134.0,,isom
"56.0134.0,56.0138.0",,,"Sh82,  Red.",R56.0138.0-R56.0134.0,,isom
"56.0135.0,56.0138.0",,,"Sh82,  Red.",R56.0138.0-R56.0135.0,,isom
"56.0136.0,56.0137.0",,,Fr95,R56.0137.0-R56.0136.0,,isom
"56.0136.0,56.0138.0",,,Fr95 (Sh82),R56.0138.0-R56.0136.0,,isom
"56.0137.0,56.0138.0",,,"Sh82,  Red.",R56.0138.0-R56.0137.0,,isom
"58.0140.0,58.0142.0",,,Fr95,R58.0142.0-R58.0140.0,,isom
"60.0142.0,60.0143.0",,,Fr95,R60.0143.0-R60.0142.0,,isom
"60.0142.0,60.0144.0",,,Fr95,R60.0144.0-R60.0142.0,,isom
"60.0144.0,60.0145.0",,,Fr95,R60.0145.0-R60.0144.0,,isom
"60.0144.0,60.0146.0",,,Fr95,R60.0146.0-R60.0144.0,,isom
"60.0146.0,60.0148.0",,,Fr95,R60.0148.0-R60.0146.0,,isom
"60.0148.0,60.0150.0",,,En74/70MB1+1,R60.0150.0-R60.0148.0,,isom
"62.0144.0,62.0152.0",,,Po79,R62.0152.0-R62.0144.0,,isom
"62.0147.0,62.0148.0",,,Fr95,R62.0148.0-R62.0147.0,,isom
"62.0148.0,62.0149.0",,,Fr95,R62.0149.0-R62.0148.0,,isom
"62.0148.0,62.0152.0",,,Po79,R62.0152.0-R62.0148.0,,isom
"62.0150.0,62.0152.0",,,Po79,R62.0152.0-R62.0150.0,,isom
"62.0150.0,62.0152.0",,,Fr95,R62.0152.0-R62.0150.0,,isom
"62.0152.0,62.0154.0",,,Po79,R62.0154.0-R62.0152.0,,isom
"63.0151.0,63.0153.0",,,Fr95 (Ta84),R63.0153.0-R63.0151.0,,isom
"64.0154.0,64.0155.0",,,Fr95 (La83),R64.0155.0-R64.0154.0,,isom
"64.0154.0,64.0156.0",,,Fr95 (La83),R64.0156.0-R64.0154.0,,isom
"64.0156.0,64.0157.0",,,Fr95 (La83),R64.0157.0-R64.0156.0,,isom
"64.0156.0,64.0158.0",,,Fr95 (La83),R64.0158.0-R64.0156.0,,isom
"64.0158.0,64.0160.0",,,Fr95 (La83),R64.0160.0-R64.0158.0,,isom
"66.0161.0,66.0162.0",,,Fr95,R66.0162.0-R66.0161.0,,isom
"66.0162.0,66.0163.0",,,Fr95,R66.0163.0-R66.0162.0,,isom
"66.0162.0,66.0164.0",,,Fr95,R66.0164.0-R66.0162.0,,isom
"68.0166.0,68.0167.0",,,Fr95,R68.0167.0-R68.0166.0,,isom
"68.0166.0,68.0168.0",,,Fr95,R68.0168.0-R68.0166.0,,isom
"68.0168.0,68.0170.0",,,Fr95,R68.0170.0-R68.0168.0,,isom
"70.0170.0,70.0172.0",,,Fr95 (Ze75),R70.0172.0-R70.0170.0,,isom
"70.0171.0,70.0172.0",,,Fr95 (Ze75),R70.0172.0-R70.0171.0,,isom
"70.0172.0,70.0174.0",,,Fr95 (Ze75),R70.0174.0-R70.0172.0,,isom
"70.0173.0,70.0174.0",,,Fr95 (Ze75),R70.0174.0-R70.0173.0,,isom
"70.0174.0,70.0176.0",,,Fr95 (Ze75),R70.0176.0-R70.0174.0,,isom
"72.0176.0,72.0177.0",,,Fr95 (Ta84a),R72.0177.0-R72.0176.0,,isom
"72.0176.0,72.0178.0",,,Fr95 (Ta84a),R72.0178.0-R72.0176.0,,isom
"72.0178.0,72.0179.0",,,Fr95 (Ta84a),R72.0179.0-R72.0178.0,,isom
"72.0178.0,72.0180.0",,,Fr95 (Ta84a),R72.0180.0-R72.0178.0,,isom
"74.0182.0,74.0184.0",,,Fr95,R74.0184.0-R74.0182.0,,isom
"74.0184.0,74.0186.0",,,Fr95,R74.0186.0-R74.0184.0,,isom
"76.0186.0,76.0188.0",,,Fr95 (Ho81),R76.0188.0-R76.0186.0,,isom
"76.0188.0,76.0190.0",,,Fr95 (Ho81),R76.0190.0-R76.0188.0,,isom
"76.0190.0,76.0192.0",,,Fr95 (Ho81),R76.0192.0-R76.0190.0,,isom
"78.0194.0,78.0195.0",,,Fr95,R78.0195.0-R78.0194.0,,isom
"78.0194.0,78.0196.0",,,Fr95,R78.0196.0-R78.0194.0,,isom
"78.0196.0,78.0198.0",,,Fr95,R78.0198.0-R78.0196.0,,isom
"80.0198.0,80.0200.0",,,Fr95,R80.0200.0-R80.0198.0,,isom
"80.0199.0,80.0200.0",,,Fr95,R80.0200.0-R80.0199.0,,isom
"80.0200.0,80.0201.0",,,Fr95,R80.0201.0-R80.0200.0,,isom
"80.0200.0,80.0202.0",,,Fr95,R80.0202.0-R80.0200.0,,isom
