Z,A,R,DR,Ref.,Remarks,Type,connect_abs_idxs,connect_rel_idxs
25,55,3.706,0.0033000000000069315,Wo81,From Fr95 Table III.A.      Error estimated,mu-Xray,124,
26,54,3.6928823529411825,0.004850712500735116,La76,From Vr87 ,el-scatt.,"126,125",
26,56,3.7383216870600644,0.0031109183135462795,La76,From Vr87 ,el-scatt.,"129,128,127",
26,57,3.754,0.0036999999999888043,Sh76,From Fr95 Table III.A.      Error estimated,mu-Xray,130,
26,58,3.773528441027726,0.00366013137911577,Wo76,,el-scatt.,"131,132",
27,59,3.788328859060404,0.0028673117218202264,Sc79,,el-scatt.,"134,133",
28,58,3.7744803018400446,0.002209048933046678,Sp79,Re-analysis of  Si75  ,el-scatt.,"137,135,139,138,136",
28,60,3.811703331632179,0.0029278507534371222,Fi74a,From Ja74.     Contains  Fi70 ,el-scatt.,"140,143,142,141",
28,61,3.8212384367156647,0.00431309677586512,Fi74a,From Ja74.     Contains  Fi70 ,el-scatt.,"145,144",
28,62,3.839039897995823,0.004074090234676273,Fi74a,From Ja74.     Contains  Fi70 ,el-scatt.,"147,146,148",
28,64,3.8584456794549973,0.003953544788231529,Fi74a,From Ja74.     Contains  Fi70 ,el-scatt.,"150,149",
29,63,3.8853079271871906,0.0048994547581055255,Ke77,From Vr87,el-scatt.,"152,153,151",
29,65,3.902948577680525,0.002811550107050505,Sc79,,el-scatt.,"155,154",
30,64,3.927662068965519,0.0033796551548281426,Ke77,From Vr87,el-scatt.,"156,157",
30,66,3.9488880701055566,0.0029636313762226555,Ke77,From Vr87,el-scatt.,"159,158,160",
30,68,3.96573795918367,0.0029142857142903755,Ke77,From Vr87,el-scatt.,"163,162,161",
30,70,3.983265034437441,0.003255975659865932,Ke77,From Vr87,el-scatt.,"165,164",
31,69,3.996,0.0031999999999951104,Ma83,From Fr95 Table III.A.      Error estimated,mu-Xray,166,
31,71,4.011,0.003200000000032429,Ma83,From Fr95 Table III.A.      Error estimated,mu-Xray,167,
32,70,4.041925453324403,0.0017419801188125602,Ma84,,,"169,168",
32,72,4.05865681665551,0.001979549007971817,Ma84,,,"170,171",
32,73,4.061,0.0032999999999912648,Si82a,From Fr95 Table III.A.      Error estimated,mu-Xray,172,
32,74,4.074261538461521,0.0017364862842513063,Ma84,,,"174,173",
32,76,4.080753846153846,0.0017364862842611242,Ma84,,,"176,175",
33,75,4.096,0.003300000000019598,Ma83,From Fr95 Table III.A.      Error estimated,mu-Xray,177,
34,74,4.07,0.020000000000215956,Kh88,,el-scatt.,178,
34,76,4.141638810198312,0.0057097461903457235,Kh88,,el-scatt.,"179,180",
34,77,4.139,0.003500000000016239,Si82b,From Fr95 Table III.A.      Error estimated,mu-Xray,181,
34,78,4.139875957120979,0.003486574557320631,Kh88,,el-scatt.,"183,182",
34,80,4.140934356374824,0.0025430610068265004,Kh88,,el-scatt.,"185,184,186",
34,82,4.137977485928693,0.005075853317056356,Kh88,,el-scatt.,"188,187",
35,79,4.163,0.0034999999999894295,Ma83,From Fr95 Table III.A.      Error estimated,mu-Xray,189,
35,81,4.16,0.003399999999974822,Ma83,From Fr95 Table III.A.      Error estimated,mu-Xray,190,
36,78,4.203,0.0038999999999666623,Ma85,,,191,
36,80,4.198,0.003900000000020906,Ma85,,,192,
36,82,4.192,0.0036999999999876767,Ma85,,,193,
36,83,4.186,0.0037000000000339335,Ma85,,,194,
36,84,4.188,0.003599999999967101,Ma85,,,195,
36,86,4.184,0.0036000000000225747,Ma85,,,196,
37,85,4.204,0.0035999999999744388,He86,From Fr95 Table III.A.      Error estimated,mu-Xray,197,
37,87,4.199,0.0036000000000245033,He86,From Fr95 Table III.A.      Error estimated,mu-Xray,198,
38,84,4.241,0.003700000000015164,He86,,,199,
38,86,4.231,0.003599999999963077,He86,,,200,
38,87,4.224,0.0036000000000024554,He86,,,201,
38,88,4.211709167544775,0.012246238325707644,St76,From Vr87,el-scatt.,"202,203",
39,89,4.243872378330229,0.0032395643079084074,Fi74,From  Ja74,el-scatt.,"206,204,205",
40,90,4.269,0.0020000000000046448,Ma89,,,207,
40,91,4.285,0.001769836444771538,He86,From Fr95 Table III.A.      Error estimated,mu-Xray,"208,209",
40,92,4.305,0.001999999999982462,Ma89,,,210,
40,94,4.331,0.002000000000014522,Ma89,,,211,
40,96,4.351,0.0019999999999886736,Ma89,,,212,
41,93,4.324802457374564,0.0026560441121664235,Ja76,From  Ja74,el-scatt.,"213,215,214",
42,92,4.315,0.0020000000000106716,Ma89,,,216,
42,94,4.352,0.001999999999991469,Ma89,,,217,
42,95,4.3622,0.0030000000000176496,Ma89,,,218,
42,96,4.384,0.001999999999999216,Ma89,,,219,
42,97,4.3866,0.0029999999999731847,Ma89,,,220,
42,98,4.409,0.0019999999999875625,Ma89,,,221,
42,100,4.447,0.002000000000011644,Ma89,,,222,
44,96,4.393,0.004699999999961655,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,223,
44,98,4.423,0.005499999999961263,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,224,
44,99,4.435,0.004200000000039564,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,225,
44,100,4.453,0.004299999999974447,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,226,
44,101,4.461,0.004200000000020861,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,227,
44,102,4.481,0.004199999999968197,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,228,
44,104,4.509,0.004299999999960524,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,229,
45,103,4.494,0.004099999999960095,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,230,
46,102,4.484,0.004399999999984597,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,231,
46,104,4.4964255529879,0.01955387400192042,La86,From Vr87,el-scatt.,"233,232",
46,105,4.516,0.004600000000001167,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,234,
46,106,4.522681415929184,0.01637404742521799,La86,From Vr87,el-scatt.,"235,236",
46,108,4.550611226611253,0.008951027500971065,La86,From Vr87,el-scatt.,"238,237",
46,110,4.573863938225292,0.010207372448747658,Li76,,el-scatt.,"241,240,239",
47,107,4.544,0.004199999999994157,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,242,
47,109,4.565,0.004200000000029891,Ha89,From Fr95 Table III.A.      Error estimated,mu-Xray,243,
48,106,4.534,0.00450000000002156,Fr87,From Fr95 Table III.A.      Error estimated,mu-Xray,244,
48,108,4.554,0.004499999999966044,Fr87,From Fr95 Table III.A.      Error estimated,mu-Xray,245,
48,110,4.575169675090253,0.003785303139174876,Gi75,,el-scatt.,"246,247",
48,111,4.579,0.004400000000027632,Fr87,From Fr95 Table III.A.      Error estimated,mu-Xray,248,
48,112,4.5971094977033635,0.005393461473906911,Gi75,,el-scatt.,"249,250",
48,113,4.597,0.004299999999963066,Fr87,From Fr95 Table III.A.      Error estimated,mu-Xray,251,
48,114,4.613619354793127,0.004058245994898023,Gi75,,el-scatt.,"254,255,252,253,256",
48,116,4.6281380773427365,0.004920927240549131,Gi75,,el-scatt.,"258,257",
49,113,4.598,0.005299999999961491,Ja89,From Fr95 Table III.A.      Error estimated,mu-Xray,259,
49,115,4.617742840746034,0.005751587229499138,Ja76,From Vr87,el-scatt.,"262,261,260",
50,110,4.5807,0.006399999999967746,Fr97,,,263,
50,111,4.5859,0.006099999999987701,Fr97,,,264,
50,112,4.5898674033149005,0.0034134191149172285,Fi72,,el-scatt.,"266,265",
50,113,4.6038,0.004700000000020014,Fr97,,,267,
50,114,4.60579116117851,0.003436958234862304,Fi72,,el-scatt.,"268,269",
50,115,4.6167,0.003800000000014871,Fr97,,,270,
50,116,4.625,0.004600000000041639,Pi90,,,271,
50,117,4.627762430939234,0.003344823658102163,Fi72,,el-scatt.,"273,272",
50,118,4.63779116117851,0.0034369582348748105,Fi72,,el-scatt.,"274,275",
50,119,4.641209944751392,0.0033448236581331515,Fi72,,el-scatt.,"276,277",
50,120,4.650972375690644,0.0039506142883735775,Fi72,,el-scatt.,"279,278",
50,121,4.6589,0.001299999999997299,Fr97,,,280,
50,122,4.662874350086628,0.0039730341466299645,Fi72,,el-scatt.,"281,282",
50,123,4.6684,0.0020000000000015626,Fr97,,,283,
50,124,4.676,0.0009999999999992612,Ma92,,,284,
50,125,4.6779,0.0027000000000097974,Fr97,,,285,
51,121,4.681,0.0046000000000264675,Kl88,From Fr95 Table III.A.      Error estimated,mu-Xray,286,
51,123,4.689,0.005099999999985572,Kl88,From Fr95 Table III.A.      Error estimated,mu-Xray,287,
52,122,4.71,0.005300000000028744,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,288,
52,123,4.712,0.004500000000036002,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,289,
52,124,4.719,0.004599999999991639,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,290,
52,125,4.721,0.004600000000003487,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,291,
52,126,4.7282063854048,0.0038442452065969397,Ka71,MIA in  En74 T.III.      Syst+Nuclpol = .001  ,mu-Xray,"292,293",
52,128,4.735,0.00459999999999985,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,294,
52,130,4.742,0.004600000000041118,Sh89,From Fr95 Table III.A.      Error estimated,mu-Xray,295,
53,127,4.749932198621464,0.003902039315214905,Ka71,MIA in  En74 T.III.    Syst+Nuclpol = .001  ,mu-Xray,"296,297",
54,124,4.762,0.004599999999986767,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,298,
54,126,4.77,0.004800000000035139,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,299,
54,128,4.776,0.004799999999982479,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,300,
54,129,4.776,0.004699999999982845,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,301,
54,130,4.783,0.00460000000002415,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,302,
54,131,4.781,0.004600000000012464,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,303,
54,132,4.787,0.004699999999961318,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,304,
54,134,4.792,0.004699999999991163,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,305,
54,136,4.799,0.00470000000003284,He84,From Fr95 Table III.A.      Error estimated,mu-Xray,306,
55,133,4.804,0.004599999999976159,Kl88,From Fr95 Table III.A.      Error estimated,mu-Xray,307,
56,134,4.829,0.004800000000037989,Fr95,"Includes  Sh82, Ku83",mu-Xray,308,
56,135,4.827,0.004800000000025918,Sh82,From Fr95 Table III.A.      Error estimated,mu-Xray,309,
56,136,4.833,0.004799999999973891,Fr95,"Includes  Sh82, Ku83",mu-Xray,310,
56,137,4.832,0.004799999999967849,Sh82,From Fr95 Table III.A.      Error estimated,mu-Xray,311,
56,138,4.83908256880734,0.004597566169081737,Ma72,MIA in  En74 T.III.      Syst+Nuclpol = .001  ,mu-Xray,"312,313",
57,139,4.855,0.00490000000001877,Re87,From Fr95 Table III.A.      Error estimated,mu-Xray,314,
58,140,4.877086965970625,0.002502308910808683,Je70,,mu-Xray,"315,316,317",
58,142,4.906264705882355,0.0025724787771367933,Ma72,MIA in  En74 T.III.      Syst+Nuclpol = .001  ,mu-Xray,"318,319",
59,141,4.892,0.004999999999976504,Re87,From Fr95 Table III.A.      Error estimated,mu-Xray,320,
60,142,4.914,0.005100000000022727,Re87,From Fr95 Table III.A.      Error estimated,mu-Xray,321,
60,143,4.924,0.005299999999993386,Re87,From Fr95 Table III.A.      Error estimated,mu-Xray,322,
