Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
29,63,29,65,0.019857063231616318,0.0009249442637836328,,R134-R133,isoe,,"226,144"
30,64,30,66,0.02081800693044644,0.0011398579181087739,,R136-R135,isoe,,"150,227,145,151,149,147,228,148,152,146,229"
30,66,30,68,0.01630715196619977,0.0011318456456322434,,R138-R136,isoe,,"150,227,145,151,149,147,228,148,152,146,229"
30,68,30,70,0.018149412611939756,0.0017641037555427641,,R139-R138,isoe,,"150,227,145,151,149,147,228,148,152,146,229"
31,69,31,71,0.01458922595823849,0.0008387272437412418,,R141-R140,isom,,230
32,70,32,72,0.016259941666372627,0.0007769763377910897,,R143-R142,isoe,,"156,231,155,234,154,233,153,232"
32,70,32,76,0.040614510388442215,0.0013674799583374368,,R146-R142,isoe,,"156,231,155,234,154,233,153,232"
32,72,32,73,0.006163957150972239,0.0009083869230652597,,R144-R143,isom,,"156,231,155,234,154,233,153,232"
32,72,32,74,0.017220966889721277,0.0008954400246514656,,R145-R143,isoe,,"156,231,155,234,154,233,153,232"
32,74,32,76,0.007133601832348312,0.0008880287068664512,,R146-R145,isoe,,"156,231,155,234,154,233,153,232"
34,76,34,77,7.803921911212562e-05,0.0010585094514702418,,R150-R149,isom,,"238,237,235,236"
34,76,34,78,0.0014827451631303,0.001059914152867021,,R151-R149,isom,,"238,237,235,236"
34,78,34,80,-0.0003901960955606,0.0009027431653098262,,R152-R151,isom,,"238,237,235,236"
34,80,34,82,7.803920166900096e-05,0.0009024310108502723,,R153-R152,isom,,"238,237,235,236"
35,79,35,81,-0.00304380039875676,0.0009054592683684188,,R155-R154,isom,,239
36,78,36,80,-0.0055417582633904,0.0011421769575361029,,R163-R161,isom,,"242,240,244,241,243"
36,80,36,82,-0.0054637053301032,0.0010640459723507468,,R165-R163,isom,,"242,240,244,241,243"
36,82,36,83,-0.006322287596262301,0.000986851618168361,,R166-R165,isom,,"242,240,244,241,243"
36,82,36,84,-0.0039806995976466,0.0009845100317289214,,R167-R165,isom,,"242,240,244,241,243"
36,84,36,86,-0.004449017486976457,0.0009069254150310584,,R169-R167,isom,,"242,240,244,241,243"
37,85,37,87,-0.004995810551359078,0.0007514125817237869,,R191-R189,isom,,245
38,84,38,86,-0.0105389082449571,0.0009131327912964972,,R212-R210,isom,,"246,247,248"
38,86,38,87,-0.0069478728429717,0.0009095417572253822,,R213-R212,isom,,"246,247,248"
38,86,38,88,-0.007182071068033868,0.000753643980123334,,R214-R212,isom,,"246,247,248"
40,90,40,91,0.01491298222183247,0.0007614620697333169,,R247-R246,isom,,"252,157,158,251,250,249"
40,90,40,92,0.035736945241544,0.0006705034340862888,,R248-R246,isoe,,"252,157,158,251,250,249"
40,92,40,94,0.02524203651646313,0.000689176269354775,,R249-R248,isoe,,"252,157,158,251,250,249"
40,94,40,96,0.0186607462006972,0.0007652098337275979,,R250-R249,isom,,"252,157,158,251,250,249"
42,92,42,94,0.03585654244369063,0.001301357797022581,,R267-R266,isoe,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,92,42,96,0.06724362483886623,0.0016620670326003202,,R269-R266,isom,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,92,42,100,0.12827692406028524,0.0026329365104536596,,R272-R266,kalpha,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,94,42,95,0.010006240239494125,0.0012409135821978428,,R268-R267,isom,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,94,42,96,0.0313870823951756,0.001198233695836567,,R269-R267,isoe,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,94,42,100,0.0924203816165946,0.00236765144593959,,R272-R267,kalpha,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,95,42,96,0.021380842155681472,0.0015620561464203934,,R269-R268,isom,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,96,42,97,0.0032017042614228275,0.0013411929310113344,,R270-R269,isom,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,96,42,98,0.024161997831196783,0.001363573522659836,,R271-R269,isoe,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
42,98,42,100,0.036871301390222225,0.0015201831544322524,,R272-R271,isoe,,"254,255,160,161,253,260,378,258,257,259,162,159,256,379"
44,96,44,98,0.0307720909664994,0.0007774843680153316,,R280-R279,isom,,"265,261,263,262,266,264"
44,98,44,99,0.011715263058311904,0.0007584275389840205,,R281-R280,isom,,"265,261,263,262,266,264"
44,98,44,100,0.0304596839516111,0.0007771719607428193,,R282-R280,isom,,"265,261,263,262,266,264"
44,100,44,101,0.008122582387096296,0.0010672418716749252,,R283-R282,isom,,"265,261,263,262,266,264"
44,100,44,102,0.027960427832504596,0.0010089779653874602,,R284-R282,isom,,"265,261,263,262,266,264"
44,102,44,104,0.028663341859818794,0.0009315791284111428,,R285-R284,isom,,"265,261,263,262,266,264"
46,102,46,104,0.024996064068908374,0.0011623484511826456,,R288-R287,isom,,"267,269,270,271,268"
46,104,46,105,0.0073425937108286,0.0013790330803208118,,R289-R288,isom,,"267,269,270,271,268"
46,104,46,106,0.0238243732106675,0.0010830640650232174,,R290-R288,isom,,"267,269,270,271,268"
